block,labeler,image_id,file,raw,year,month,day,final_date,format,tags,ts
10,병철,000012,000012.jpg,2026-03-23,2026,03,23,2026-03-23,YYYY.MM.DD,,2026-09-10T01:55:19
10,병철,000021,000021.jpg,25.10.10,2025,10,10,2025-10-10,YY.MM.DD,,2026-09-10T01:55:21
10,병철,000066,000066.jpg,2026.08.17,2026,08,17,2026-08-17,YYYY.MM.DD,,2026-09-10T01:55:25
10,병철,000085,000085.jpg,2026.03.30,2026,03,30,2026-03-30,YYYY.MM.DD,,2026-09-10T01:55:28
10,병철,000091,000091.jpg,2027.05.22,2027,05,22,2027-05-22,YYYY.MM.DD,,2026-09-10T01:55:31
10,병철,000106,000106.jpg,10.20,NONE,10,20,NONE-10-20,MM.DD,,2026-09-10T01:56:07
10,병철,000125,000125.jpg,2026.04.07,2026,04,07,2026-04-07,YYYY.MM.DD,,2026-09-10T01:57:11
10,병철,000163,000163.jpg,2026.11.20,2026,11,20,2026-11-20,YYYY.MM.DD,,2026-09-10T01:57:13
10,병철,000164,000164.jpg,2026.04.27,2026,04,27,2026-04-27,YYYY.MM.DD,,2026-09-10T01:57:17
10,병철,000170,000170.jpg,2026.09.07,2026,09,07,2026-09-07,YYYY.MM.DD,,2026-09-10T01:57:25
10,병철,000198,000198.jpg,2026.05.08,2026,05,08,2026-05-08,YYYY.MM.DD,,2026-09-10T01:57:29
10,병철,000202,000202.jpg,2027.02.06,2027,02,06,2027-02-06,YYYY.MM.DD,,2026-09-10T01:57:32
10,병철,000289,000289.jpg,2030.07.23,2030,07,23,2030-07-23,YYYY.MM.DD,,2026-09-10T01:57:37
10,병철,000302,000302.jpg,2026.03.15,2026,03,15,2026-03-15,YYYY.MM.DD,,2026-09-10T01:57:40
10,병철,000353,000353.jpg,2026.03.08,2026,03,08,2026-03-08,YYYY.MM.DD,,2026-09-10T01:57:43
10,병철,000355,000355.jpg,2028.06.17,2028,06,17,2028-06-17,YYYY.MM.DD,,2026-09-10T01:57:47
10,병철,000357,000357.jpg,2027.08.11,2027,08,11,2027-08-11,YYYY.MM.DD,,2026-09-10T01:57:50
10,병철,000364,000364.jpg,2026.06.04,2026,06,04,2026-06-04,YYYY.MM.DD,,2026-09-10T01:57:53
10,병철,000369,000369.jpg,2027.06.25,2027,06,25,2027-06-25,YYYY.MM.DD,,2026-09-10T01:57:56
10,병철,000414,000414.jpg,2026.04.07,2026,04,07,2026-04-07,YYYY.MM.DD,,2026-09-10T01:57:59
10,병철,000427,000427.jpg,2027.04.01,2027,04,01,2027-04-01,YYYY.MM.DD,,2026-09-10T01:58:05
10,병철,000431,000431.jpg,2026.03.17,2026,03,17,2026-03-17,YYYY.MM.DD,,2026-09-10T01:58:09
10,병철,000454,000454.jpg,2025.07.15  2,2025,07,15,2025-07-15,YYYY.MM.DD,2,2026-09-10T01:58:37
10,병철,000459,000459.jpg,2026.01.19,2026,01,19,2026-01-19,YYYY.MM.DD,,2026-09-10T01:58:42
10,병철,000469,000469.jpg,2026.07.21,2026,07,21,2026-07-21,YYYY.MM.DD,,2026-09-10T01:58:45
10,병철,000493,000493.jpg,2026.06.17,2026,06,17,2026-06-17,YYYY.MM.DD,,2026-09-10T01:58:48
10,병철,000506,000506.jpg,2026.06.18  2,2026,06,18,2026-06-18,YYYY.MM.DD,2,2026-09-10T01:58:53
10,병철,000533,000533.jpg,2026.03.26,2026,03,26,2026-03-26,YYYY.MM.DD,,2026-09-10T01:58:56
10,병철,000534,000534.jpg,2027.01.29,2027,01,29,2027-01-29,YYYY.MM.DD,,2026-09-10T01:58:59
10,병철,000646,000646.jpg,15/01/2027,2027,01,15,2027-01-15,DD.MM.YYYY,,2026-09-10T01:59:03
10,병철,000659,000659.jpg,2026.08.24,2026,08,24,2026-08-24,YYYY.MM.DD,,2026-09-10T01:59:06
10,병철,000667,000667.jpg,2026.06.22 2,2026,06,22,2026-06-22,YYYY.MM.DD,2,2026-09-10T01:59:10
10,병철,000670,000670.jpg,26.06.24  2,2026,06,24,2026-06-24,YY.MM.DD,2,2026-09-10T01:59:15
10,병철,000686,000686.jpg,2026.10.12  2,2026,10,12,2026-10-12,YYYY.MM.DD,2,2026-09-10T01:59:18
10,병철,000700,000700.jpg,2025. 10.24,2025,10,24,2025-10-24,YYYY.MM.DD,,2026-09-10T01:59:22
10,병철,000735,000735.jpg,2027.01.12,2027,01,12,2027-01-12,YYYY.MM.DD,,2026-09-10T01:59:27
10,병철,000757,000757.jpg,10.22,NONE,10,22,NONE-10-22,MM.DD,,2026-09-10T01:59:30
