block,labeler,image_id,file,raw,year,month,day,final_date,format,tags,ts
2,서현,000001,000001.jpg,2027.06.26,2027,06,26,2027-06-26,YYYY.MM.DD,,2026-09-09T12:21:23
8,민섭,000002,000002.jpg,2025.12.11,2025,12,11,2025-12-11,YYYY.MM.DD,,2026-09-12T16:17:26
12,서영,000003,000003.jpg,2026.05.12 t,2026,05,12,2026-05-12,YYYY.MM.DD,t,2026-09-12T09:35:08
14,서영,000004,000004.jpg,2022.02.14 b,2022,02,14,2022-02-14,YYYY.MM.DD,b,2026-09-09T18:26:43
1,승아,000005,000005.jpg,2026.07.02,2026,07,02,2026-07-02,YYYY.MM.DD,,2026-09-09T13:41:59
5,병철,000006,000006.jpg,2026.02.17,2026,02,17,2026-02-17,YYYY.MM.DD,,2026-09-09T00:21:08
1,승아,000007,000007.jpg,26.06.25 2,2026,06,25,2026-06-25,YY.MM.DD,2,2026-09-09T13:42:23
3,민섭,000008,000008.jpg,2027.06.29,2027,06,29,2027-06-29,YYYY.MM.DD,,2026-09-09T17:42:45
14,서영,000009,000009.jpg,2026.10.29,2026,10,29,2026-10-29,YYYY.MM.DD,,2026-09-09T18:26:55
15,서현,000010,000010.jpg,2026.06.08,2026,06,08,2026-06-08,YYYY.MM.DD,,2026-09-12T16:19:11
3,민섭,000011,000011.jpg,2026.02.05,2026,02,05,2026-02-05,YYYY.MM.DD,,2026-09-09T20:19:47
10,병철,000012,000012.jpg,2026-03-23,2026,03,23,2026-03-23,YYYY.MM.DD,,2026-09-10T01:55:19
4,서영,000013,000013.jpg,2026.03.20,2026,03,20,2026-03-20,YYYY.MM.DD,,2026-09-09T14:01:20
12,서영,000014,000014.jpg,26.01.31,2026,01,31,2026-01-31,YY.MM.DD,,2026-09-12T09:35:11
14,서영,000015,000015.jpg,2026.03.01 2,2026,03,01,2026-03-01,YYYY.MM.DD,2,2026-09-09T18:27:00
12,서영,000016,000016.jpg,2026.01.22,2026,01,22,2026-01-22,YYYY.MM.DD,,2026-09-12T09:35:14
12,서영,000017,000017.jpg,2026.11.25,2026,11,25,2026-11-25,YYYY.MM.DD,,2026-09-12T09:35:17
7,서현,000018,000018.jpg,26.04.24,2026,04,24,2026-04-24,YY.MM.DD,,2026-09-09T13:45:37
4,서영,000019,000019.jpg,2026.04.09 2,2026,04,09,2026-04-09,YYYY.MM.DD,2,2026-09-09T14:01:26
5,병철,000020,000020.jpg,2025.10.09,2025,10,09,2025-10-09,YYYY.MM.DD,,2026-09-09T00:21:13
