image_id,file,stratum,정답,예측,raw,후보,담당,원인,메모
000064,000064.jpg,large,2026-08-03,2025-08-03,2026.08.03,2025-8-3:YYYY:p2:0.80,A,r,
000122,000122.jpg,large,2027-04-28,2027-04-NONE,2027.04.28,2027-4-None:YYMM:p1@1024:0.84,A,r,
000193,000193.jpg,large,2026-03-06,2026-03-08,2026.03.06,2026-3-8:YMD_GLUED:erode3/p1@1024:0.79,A,r,
000209,000209.jpg,large,2027-06-11,2027-06-10,2027.06.11,2027-6-10:YYYY:p1@640:0.63,A,r,
000210,000210.jpg,large,2027-05-20,2031-05-07,2027.05.20,2031-5-7:SP_DMY:p1@640:0.63,A,r,
000231,000231.jpg,large,2028-05-27,2025-01-01,2028.05.27,2025-1-1:SP_DMY:p2:0.65,A,u,
000234,000234.jpg,large,2026-10-27,2027-10-26,261027 2,2025-5-9:CMP6_DMY:p2:0.77|2027-10-26:CMP6_DMY:p2:0.84,A,o,exp힌트
000255,000255.jpg,large,2026-08-20,NONE-08-20,26.08.20,None-8-20:MMDD:erode3/p1@640:0.75,A,r,
000274,000274.jpg,large,2026-03-02,2025-09-03,26.03.02 2,2025-9-3:YY:p2:0.52|2025-9-3:YY:p2:0.52,A,p,
000415,000415.jpg,large,2026-05-27,2025-02-02,2026.05.27,2025-2-2:SP_DMY:ft/p1@640:0.37,A,u,
000428,000428.jpg,large,2026-04-23,2026-04-03,26.04.23,2026-4-3:YY:p2:0.66|2026-4-3:YY:p2:0.66,A,r,
000441,000441.jpg,large,2025-12-15,2025-12-NONE,2025.12.15,2025-12-None:YYYYMM:erode3/p1@640:0.21,A,r,
000463,000463.jpg,large,2027-02-14,2027-02-NONE,2027.02.14,2027-2-None:YYYYMM:p2:0.95,A,r,
000472,000472.jpg,large,2025-01-17,2026-01-17,2025 01.17,2026-1-17:YYYY:p2:0.92,A,u,
000486,000486.jpg,large,2027-07-15,NONE,2027.07.15,,A,u,
000509,000509.jpg,mid,2026-09-01,2025-09-02,2026.09.01,2025-9-2:YY:p2:0.62|2025-9-2:YY:p2:0.62,A,p,
000537,000537.jpg,mid,2026-05-08,2020-02-11,2026.05.08,2020-2-11:CMP6_DMY:p2:0.53,A,s,
000544,000544.jpg,mid,2029-06-25,NONE,2029.06.25,,A,r,
000580,000580.jpg,mid,2026-03-11,2026-02-28,2026.03.11,2026-2-28:YYYY:p2:0.90,A,l,2026.02.28
000629,000629.jpg,large,2025-09-22,2021-12-09,25.09.22,2021-12-9:CMP6_DMY:erode2/p1@1024:0.80,A,s,
000635,000635.jpg,large,2026-02-21,2025-08-02,2026.02.21,2025-8-2:YYYY:p2:0.72|2025-8-2:YYYY:p2:0.72|2025-8-2:YYYY:p2:0.72,A,p,
000666,000666.jpg,large,2026-03-11,NONE-09-01,2026.03.11,None-9-1:MMDD:ft/p1@640:0.77,A,l,26.09.01
000739,000739.jpg,large,2024-08-07,2023-08-08,2024.08.07 2,2023-8-8:YYYY:p2:0.30|2023-8-7:YYYY:p2:0.30|2023-8-7:YYYY:p2:0.30|2023-8-8:YYYY:p2:0.30,A,p,
000753,000753.jpg,large,2026-03-18,2023-01-21,2026.03.18,2023-1-21:CMP6_YMD:p1@1024:0.64,A,s,
000852,000852.jpeg,large,2026-08-14,2025-08-14,14.08.26 d,2025-8-14:DDMMYY:p2:0.81,A,r,
000862,000862.jpg,mid,2021-10-22,2020-10-22,2021.10.22,2020-10-22:DMY4:ft/p2:0.85,A,p,
000935,000935.jpg,small,2021-02-10,2021-01-25,21.02.10  2,2021-1-None:YYMM:p2:0.47|2021-1-25:YYMM_DAYLA:p2:0.47|2021-1-None:YYMM:p2:0.47|2021-1-25:YYMM_DAYLA:p2:0.47,A,p,
000945,000945.jpg,small,2021-07-03,NONE,03/07/2021,,A,p,
000974,000974.jpg,small,2022-12-02,NONE,02/12/22 d,,A,u,
000980,000980.jpg,small,2021-06-14,2020-12-15,2021.06.14 2,2020-12-15:YYYY:p1@640:0.85,A,p,
001001,001001.jpg,small,2021-09-07,NONE,07 SEP 21,,A,o,회전
001003,001003.jpg,small,2022-08-24,NONE,2022.08 24,,A,u,
001030,001030.jpg,mid,2022-10-NONE,2022-10-01,2022.10,2022-10-1:DMY4:p2:0.87,A,o,로트
001091,001091.jpg,small,2021-04-16,2021-04-12,2021.04.16,2020-7-17:YYYY:p2:0.69|2021-4-12:YYYY:p2:0.69|2021-7-17:MDY4:p2:0.69|2020-7-17:YYYY:p2:0.69|2021-4-12:YYYY:p2:0.69|2021-7-17:MDY4:p2:0.69|2020-7-17:YYYY:p2:0.69|2021-4-12:YYYY:p2:0.69|2021-7-17:MDY4:p2:0.69,A,r,
001180,001180.jpg,small,2023-09-01,NONE,01 SEP 2023,,A,r,
001186,001186.jpg,small,2021-09-28,2020-12-NONE,21.09.28 2,2020-12-None:YYMM:p2:0.69|2020-12-None:YYMM:p2:0.69,A,p,
