image_id,file,final_date,bbox,img_wh,src
000005,000005.jpg,2026-07-02,"539,803,954,917",1512x2016,p1@640+p2
000006,000006.jpg,2026-02-17,"391,841,951,970",1512x2016,p1@640
000007,000007.jpg,2026-06-25,"1044,1955,1553,2164",2142x2856,p1@640
000008,000008.jpg,2027-06-29,"321,1281,893,1436",1143x2362,p1@640+p2
000011,000011.jpg,2026-02-05,"479,1323,863,1418",1512x2016,p1@640+p2
000013,000013.jpg,2026-03-20,"-19,901,999,1377",1512x2016,p2
000019,000019.jpg,2026-04-09,"504,788,850,863",1512x2016,p1@640+p2
000020,000020.jpg,2025-10-09,"498,885,1515,1068",1512x2016,p1@640+p2
000025,000025.jpg,2026-06-11,"359,702,973,901",1512x2016,p1@640+p2
000029,000029.jpg,2026-08-02,"334,1251,1096,1399",1512x2016,p1@640+p2
000036,000036.jpg,2026-08-26,"416,1058,857,1153",1512x2016,p1@640+p2
000040,000040.jpg,2025-10-11,"513,1024,1074,1137",1512x2016,p1@640
000043,000043.jpg,NONE-10-14,"469,992,1531,1235",1512x2016,p1@640+p2
000046,000046.jpg,2025-10-10,"526,1402,1213,1515",1512x2016,p1@640
000055,000055.jpg,2026-08-04,"946,1839,1446,1946",2142x2856,p1@640
000064,000064.jpg,2026-08-03,"506,1108,1063,1219",1512x2016,p1@1024
000069,000069.jpg,2026-06-24,"665,1352,1352,1535",2142x2856,p1@640+p2
000070,000070.jpg,2026-10-08,"548,1288,1197,1770",1512x2016,p1@640
000072,000072.jpg,2026-04-25,"312,1622,1147,1751",1512x2016,p1@640+p2
000075,000075.jpg,2026-01-06,"217,1206,1162,1405",1512x2016,p1@640
000082,000082.jpg,2026-08-24,"353,1474,1222,1632",1512x2016,p1@640
000084,000084.jpg,2026-03-31,"85,1238,1484,1370",1512x2016,p1@640
000086,000086.jpg,2026-03-14,"419,1304,1480,1458",1512x2016,p1@640
000087,000087.jpg,2026-08-10,"214,1304,1449,1462",1512x2016,p1@640+p2
000088,000088.jpg,2026-09-03,"66,1128,1430,1295",1512x2016,p1@640
000089,000089.jpg,2026-09-11,"567,403,806,479",1512x2016,p1@640
000092,000092.jpg,2026-12-05,"220,1310,1377,1480",1512x2016,p1@640
000096,000096.jpg,2026-05-26,"491,914,794,1014",1512x2016,p1@640
000097,000097.jpg,2025-11-19,"120,948,1474,1562",1512x2016,p1@640+p2
000098,000098.jpg,2026-03-11,"573,1310,926,1436",1512x2016,p1@640+p2
000099,000099.jpg,2026-03-07,"460,706,1433,1452",1512x2016,p1@640
000104,000104.jpg,2026-04-01,"548,1269,942,1336",1512x2016,p1@640
000105,000105.jpg,2025-11-09,"491,359,788,498",1512x2016,p1@640
000121,000121.jpg,2027-04-13,"491,1166,989,1273",1512x2016,p1@640
000124,000124.jpg,2026-01-02,"501,1093,816,1150",1512x2016,p1@640
000132,000132.jpg,2026-08-21,"44,800,1452,1052",1512x2016,p1@640+p2
