image_id,block,label,소비키워드,제조키워드,후보,읽힌_텍스트
000005,1,2026-07-02,0,0,0,2026-17.02 | 2026.07.02 | 21 5 FS AI
000007,1,2026-06-25,1,0,0,"A03 | 22:06 | IACO | 까지 | 26.06.25 | 기한 | OTHEI | 부터 | 7655709 | 25.06.26 | 소비 | 비널 | 명어리나겹은점이보일수있으나인체에부해합니다. | ·제조과정중원료가국거나고은에서갈변화되어원식 | 1:본사 및 구입한 곳 | 이에 보관해주시고하기 전면직시광선을피해주세요 | 5700(문자)1522-4 | ·제품내부에수분이많고 부드러워고은에 약합니다.30도 | 399:고객센터:(전화 | ·부청· 불량식품 신고 | 이므로 개인의 필요 열량에 따라 다을수 있습니다. | 보관,개롭 후 가급적 "
000029,1,2026-08-02,1,0,0,"까지 | 2026.08.02H1 | 18010621898862 | 8 | OTHER | 비닐류 | 롯데웰푸드 | 습 | 유화제,향학제 | 30° | C | ·제품0 | 기준이므로개 | 1일영양성분 | 단백질 | 4 | 클레스테 | 186 | 부천시 | 까지(연 월.일) | 총내"
000086,1,2026-03-14,1,0,0,"까지 | 26.03.14 A | 25.09.15 18:25 | 부터 | 제수,엔 | 를,합성향료,천연향료,정제수, | 제제IV(주 | 조절제3총,과·채가공돔 | 식이섬유,혼합제제I(인산이전문,덱스트린) | 글리콜지방산에스테르,글리세린지방산에스테트 | 골율지(판핵에스테르확육(판핵유:말레이시아산) | 209519내포장재질 폴리프로필렌 식품유형 과자"
000153,1,2026-10-12,1,0,0,EXP:2026/10/12 BA | 쌀가루40%
000154,1,2027-08-13,1,0,0,NoBrand | 소비지디 | 까지 | rand | 2027.08.13
000188,1,2027-09-30,0,0,0,풍안대 양 | 경안대안양시 동한구 | 다있다 | 오뚜기 | 주식회사 | QJmll | 8 801045-36050 | 입판매원 | Pasio ainlsSBA | ·제조원: | 8345k | L24550 | 오기드 | 를완전하는 | 기를 | 2027/09/30 | 물기 | 곳에보관 | 널치는 있을 | io 139 | 보상 | 삶 | 두고 | 즐기서 수 있습니다. | 맞을 가정에서도 | 410% | FRES
000209,1,2027-06-11,1,0,0,있으므로 개봉 및 사용시 주의하십시오 | 등에 | 포장재 절단면이 날카로워 다칠 우려가 | 3% | 발생할 수있으니 주의하십시오 | 0% | 조리후장시간 보관할경우품질변화가 | 53% | 03 | i... | 31% | 19% | 18% | 놀4오세요 | 219% | 친(ww.okichen.co.ko | H한비율 | 맞있는 요리가 한가를! | 영양성분 | Okitchen | 신편하기 따라할 수 있는 | 415kcal | 용량1kg | 하십시오 | 고객상담실:080-024-23(수신자효 | ·소비기한을 복확인 후사 | 곳에보관하 | 
000214,1,2026-08-13,1,0,0,까지 | 2026.08.13714:16 | 텐용가는깨끗이분리수거하여 재활용합.소한사원깨끗한환경 | ∞ | 소비자중심 | HACCP | 국번없이 1399 | ·부정·불량식품 신고는 | 의거교환또는 보상 | ·본제품을 소비자기본법에 | 니다 | 불상이에서 안심하고드셔로 | 농축액에서 나타나 친연적인 | 8:꿀1: | 기드에소스처 | L | 하여건강하게
000268,1,2026-07-14,0,0,0,26.07.14 | 제대로만든크래캐커! | ZEC | 리츠
