담당,image_id,file,stratum,정답,예측,raw,후보,원인,메모
A,000064,000064.jpg,large,2026-08-03,2025-08-03,2026.08.03,2025-8-3:YYYY:p2:0.80,,
B,000090,000090.jpg,large,2026-09-01,NONE,2026.09.01,,,
A,000122,000122.jpg,large,2027-04-28,2027-04-NONE,2027.04.28,2027-4-None:YYMM:p1@1024:0.84,,
B,000133,000133.jpg,large,2025-11-25,NONE,2025.11.25,,,
A,000158,000158.jpg,large,2028-07-20,2026-07-20,2028.07.20,2026-7-20:YYYY:p2:0.90,,
B,000193,000193.jpg,large,2026-03-06,NONE,2026.03.06,,,
A,000209,000209.jpg,large,2027-06-11,2027-06-10,2027.06.11,2027-6-10:YYYY:p1@640:0.63,,
B,000210,000210.jpg,large,2027-05-20,2031-05-07,2027.05.20,2031-5-7:SP_DMY:p1@640:0.63,,
A,000231,000231.jpg,large,2028-05-27,NONE,2028.05.27,,,
B,000234,000234.jpg,large,2026-10-27,2027-10-26,261027 2,2025-5-9:CMP6_DMY:p1@640:0.96|2027-10-26:CMP6_DMY:p2:0.84,,
A,000255,000255.jpg,large,2026-08-20,NONE,26.08.20,,,
B,000273,000273.jpg,large,2026-03-13,2020-11-12,2026.03.13,2020-11-12:SP_DMY:p1@640:0.59,,
A,000274,000274.jpg,large,2026-03-02,2025-09-03,26.03.02 2,2025-9-3:YY:p2:0.52|2025-9-3:YY:p2:0.52,,
B,000311,000311.jpg,large,2026-08-09,2022-07-26,2026년08년09일,2022-7-26:CMP6_YMD:p1@640:0.50,,
A,000395,000395.jpg,large,2026-03-15,NONE,2026.03.15,,,
B,000415,000415.jpg,large,2026-05-27,NONE,2026.05.27,,,
A,000428,000428.jpg,large,2026-04-23,NONE,26.04.23,,,
B,000441,000441.jpg,large,2025-12-15,NONE,2025.12.15,,,
A,000463,000463.jpg,large,2027-02-14,2027-02-NONE,2027.02.14,2027-2-None:YYYYMM:p2:0.95,,
B,000472,000472.jpg,large,2025-01-17,2026-01-17,2025 01.17,2026-1-17:YYYY:p2:0.92,,
A,000486,000486.jpg,large,2027-07-15,NONE,2027.07.15,,,
B,000501,000501.jpg,large,2026-02-24,NONE,26.02.24,,,
A,000509,000509.jpg,mid,2026-09-01,2025-09-02,2026.09.01,2025-9-2:YY:p2:0.62|2025-9-2:YY:p2:0.62,,
B,000515,000515.jpg,mid,2026-01-NONE,2022-02-14,2026.01 2,2026-1-None:YYYYMM:p2:0.93|2022-2-14:SP_DMY:p1@640:0.65,,
A,000537,000537.jpg,mid,2026-05-08,NONE,2026.05.08,,,
B,000544,000544.jpg,mid,2029-06-25,NONE,2029.06.25,,,
A,000580,000580.jpg,mid,2026-03-11,2026-02-28,2026.03.11,2026-2-28:YYYY:p2:0.90,,
B,000629,000629.jpg,large,2025-09-22,NONE,25.09.22,,,
A,000630,000630.jpg,large,2026-03-31,NONE,2026.03.31 e,,,
B,000635,000635.jpg,large,2026-02-21,2025-08-02,2026.02.21,2025-8-2:YYYY:p2:0.72|2025-8-2:YYYY:p2:0.72|2025-8-2:YYYY:p2:0.72,,
A,000637,000637.jpg,large,2026-06-17,2026-06-NONE,2026.06.17,2026-6-None:YYMM:p2:0.32,,
B,000643,000643.jpg,large,2026-01-21,NONE,2026.01.21,,,
A,000666,000666.jpg,large,2026-03-11,NONE,2026.03.11,,,
B,000673,000673.jpg,large,2026-06-02,NONE,2026.06.02,,,
A,000701,000701.jpg,large,2025-10-05,NONE,25.10.05,,,
B,000739,000739.jpg,large,2024-08-07,2023-08-08,2024.08.07 2,2023-8-8:YYYY:p2:0.30|2023-8-7:YYYY:p2:0.30|2023-8-8:YYYY:p2:0.30|2023-8-7:YYYY:p2:0.30,,
A,000749,000749.jpg,large,2026-01-21,NONE,2026.01.21,,,
B,000753,000753.jpg,large,2026-03-18,2023-01-21,2026.03.18,2023-1-21:CMP6_YMD:p1@1024:0.64,,
A,000784,000784.jpeg,large,2027-05-22,NONE,2027.05.22,,,
B,000785,000785.jpeg,large,2026-10-15,NONE,2026.10.15,,,
A,000791,000791.jpeg,large,2026-06-30,2026-06-NONE,26.06.30,2026-6-None:YYMM:p2:0.70,,
B,000816,000816.jpeg,large,2026-10-09,NONE,2026.10.09,,,
A,000827,000827.jpeg,large,2026-08-09,NONE,20260809,,,
B,000837,000837.jpeg,large,2026-02-21,NONE,2026.02.21,,,
A,000852,000852.jpeg,large,2026-08-14,NONE,14.08.26 d,,,
B,000862,000862.jpg,mid,2021-10-22,NONE,2021.10.22,,,
A,000935,000935.jpg,small,2021-02-10,NONE,21.02.10  2,,,
B,000943,000943.jpg,small,2021-05-29,NONE,29 05 2021 2 b,,,
A,000945,000945.jpg,small,2021-07-03,NONE,03/07/2021,,,
B,000974,000974.jpg,small,2022-12-02,NONE,02/12/22 d,,,
A,000980,000980.jpg,small,2021-06-14,2020-12-15,2021.06.14 2,2020-12-15:YYYY:p1@640:0.85,,
B,001001,001001.jpg,small,2021-09-07,NONE,07 SEP 21,,,
A,001003,001003.jpg,small,2022-08-24,NONE,2022.08 24,,,
B,001021,001021.jpg,small,2021-06-28,2021-06-NONE,2021.06.28,2021-6-None:YYYYMM:p2:1.00,,
A,001030,001030.jpg,mid,2022-10-NONE,2022-10-01,2022.10,2022-10-1:DMY4:p2:0.87,,
B,001062,001062.jpg,small,2022-07-04,2021-04-07,2022.07.04 2,2021-1-5:YYYY:p2:0.33|2021-4-7:DMY4:p2:0.33|2021-1-5:YYYY:p2:0.33|2021-4-7:DMY4:p2:0.33|2021-1-5:YYYY:p2:0.33|2021-4-7:D,,
A,001091,001091.jpg,small,2021-04-16,2021-04-12,2021.04.16,2020-7-17:YYYY:p2:0.69|2021-4-12:YYYY:p2:0.69|2020-7-17:YYYY:p2:0.69|2021-4-12:YYYY:p2:0.69,,
B,001180,001180.jpg,small,2023-09-01,NONE,01 SEP 2023,,,
A,001186,001186.jpg,small,2021-09-28,2021-02-12,21.09.28 2,2021-2-12:SP_DMY:p2:0.69,,
B,001194,001194.jpg,small,2021-02-11,NONE,11/02/2021 2,,,
A,001260,001260.jpg,small,2021-08-30,NONE,30/08/2021,,,
B,001356,001356.jpg,mid,2022-08-NONE,2030-04-NONE,2022.08 2,2022-8-None:MM_YY:p2:0.93|2020-8-None:MM_YY:p2:0.93|2022-8-None:MM_YY:p2:0.93|2020-8-None:MM_YY:p2:0.93|2030-4-None:YYMM,,
A,001482,001482.jpg,small,NONE-01-31,NONE,01.31,,,
B,001515,001515.jpg,small,2022-08-16,2022-08-18,2022.08.16,2022-8-18:YYYY:p2:0.66,,
A,001553,001553.jpg,small,NONE-02-19,NONE,02.19,,,
B,001554,001554.jpg,mid,2020-06-03,2020-06-10,2020.06.03,2020-6-10:YYYY:p1@640:0.77,,
A,001558,001558.jpg,mid,2021-12-24,2024-12-21,24/12/21 d,2024-12-21:YY:p2:0.97,,
B,001584,001584.jpg,small,2021-12-15,NONE,2021.12.15,,,
A,001587,001587.jpg,small,2021-04-20,2021-04-27,2021.04.20,2021-4-27:YYYY:p1@640:0.82,,
B,001591,001591.jpg,small,2021-02-18,NONE,21.02.18,,,
A,001604,001604.jpg,small,2021-02-24,NONE,2021.02.24,,,
B,001727,001727.jpg,mid,2021-02-08,NONE,2021.02.08,,,
A,001747,001747.jpg,small,2021-10-12,2020-10-13,21.10.12 2,2020-10-13:YY:p2:0.36|2020-10-13:YY:p2:0.36,,
B,001755,001755.jpg,small,2021-12-05,NONE,2021 12 05,,,
A,001760,001760.jpg,small,2021-04-24,NONE,2021.04.24,,,
B,001776,001776.jpg,mid,2021-04-05,2021-04-02,05 04 2021,2021-4-2:DMY4:p2:0.82,,
A,001815,001815.jpg,small,2022-06-07,NONE,2022.06.07,,,
B,001825,001825.jpg,small,2021-09-07,NONE,2021.09.07,,,
A,001899,001899.jpg,mid,2021-11-29,NONE,nov 29 2021,,,
B,001925,001925.jpg,small,2022-01-21,NONE,2022.01.21,,,
A,001942,001942.jpg,small,2022-05-27,2021-12-20,27.05.2022,2021-12-20:CMP6_YMD:p1@640:0.73,,
B,001946,001946.jpg,small,2021-08-NONE,NONE,08 2021,,,
A,001962,001962.jpg,small,2027-03-21,2022-10-12,27/03/21,2021-11-1:SP_YMD:p2:0.91|2022-10-12:CMP6_DMY:p2:0.70,,
B,001976,001976.jpg,small,2026-02-21,NONE,26.02.21,,,
A,001979,001979.jpg,small,2020-11-04,NONE,2020.11.04,,,
B,001981,001981.jpg,small,2022-10-15,NONE,2022.10.15,,,
A,002012,002012.jpg,small,2020-06-30,NONE,2020.06.30,,,
B,002081,002081.jpg,mid,2019-09-16,2023-04-20,19.09.16 2,2023-4-20:SP_DMY:p1@640:0.35,,
A,002211,002211.jpg,small,2020-09-22,2020-07-01,20.09.22,2020-7-1:SP_DMY:p2:0.58|2020-7-1:SP_DMY:p2:0.58,,
B,002239,002239.jpg,small,2022-06-30,NONE-06-30,2022/06/30,None-6-30:MMDD:p1@640:0.81,,
A,002264,002264.jpg,small,2021-12-01,2021-12-NONE,2021. 12. 01,2021-12-None:YYYYMM:p1@640:0.93,,
B,002284,002284.jpg,mid,2022-01-06,2021-01-07,22.01.06 2,2021-1-7:YY:p2:0.91,,
