담당,image_id,file,stratum,정답,예측,raw,후보,원인,메모
A,000001,000001.jpg,large,2027-06-26,NONE-06-26,2027.06.26,None-6-26:MMDD:p1@1024:0.61,,
B,000024,000024.jpg,large,2025-10-11,NONE,25.10.11,,,
A,000057,000057.jpg,large,2026-06-24,2027-07-07,2026.06.24,2027-7-7:SP_DMY:p1@640:0.24,,
B,000061,000061.jpg,large,2026-06-04,2026-11-NONE,26.06.04,None-6-4:MMDD:p1@640:0.81|2026-11-None:YYMM:p1@640:0.81,,
A,000073,000073.jpg,large,2026-03-12,2026-08-12,2026.03.12,2026-8-12:YYYY:p1@1024:0.24|2025-7-8:SP_DMY:p1@1024:0.14,,
B,000090,000090.jpg,large,2026-09-01,2026-01-07,2026.09.01,2026-1-7:YYYY:p1@640:0.67,,
A,000108,000108.jpg,large,2025-10-24,2025-09-05,25.10.24,2022-2-3:SP_DMY:p1@1024:0.57|2025-9-5:SP_DMY:p1@1024:0.30,,
B,000122,000122.jpg,large,2027-04-28,NONE,2027.04.28,,,
A,000123,000123.jpg,large,2026-06-04,2030-01-NONE,2026.06.04,2030-1-None:YYMM:p1@1024:0.17,,
B,000133,000133.jpg,large,2025-11-25,2026-11-25,2025.11.25,2026-11-25:DMY4:p1@640:0.50,,
A,000142,000142.jpg,large,2026-05-14,2026-05-NONE,2026.05.14,2026-5-None:YYYYMM:p1@640:0.39,,
B,000157,000157.jpg,large,2027-07-08,NONE,08/07/2027 t,,,
A,000158,000158.jpg,large,2028-07-20,NONE-07-20,2028.07.20,None-7-20:MMDD:p1@640:0.54,,
B,000193,000193.jpg,large,2026-03-06,2026-09-03,2026.03.06,2026-9-3:YYYY:p1@640:0.37,,
A,000200,000200.jpg,large,2027-07-14,2024-01-NONE,2027.07.14,2024-1-None:YYMM:p1@640:0.40,,
B,000201,000201.jpg,large,2027-03-30,2022-07-NONE,2027.03.30,2022-7-None:YYMM:p1@640:0.07,,
A,000208,000208.jpg,large,2026-04-13,2026-08-14,4.13.2026,2026-8-1:YYYY:p1@640+p2:0.50|2026-8-14:YYYY:p1@640:0.29,,
B,000209,000209.jpg,large,2027-06-11,NONE,2027.06.11,,,
A,000210,000210.jpg,large,2027-05-20,2023-11-04,2027.05.20,2023-11-4:CMP6_YMD:p1@640:0.15,,
