image_id,final_date,conf,kind,src,n_cands,sec,bbox,img_wh,cands
000002,2025-12-11,0.376,YYYY,p2,1,2.16,"0,778,1181,1777",1512x2016,2025-12-11:YYYY:p2:0.38
000003,2026-05-12,0.988,YYYY,p2,1,1.28,"614,810,822,869",1512x2016,2026-5-12:YYYY:p2:0.99
000004,2027-02-14,0.963,YYYY,erode3/p1@1024,1,12.69,"217,611,507,700",1512x2016,2027-2-14:YYYY:erode3/p1@1024:0.96
000009,2026-10-29,0.951,YYYY,p2,1,2.89,"781,1245,1482,1361",2142x2856,2026-10-29:YYYY:p2:0.95
000010,2026-06-08,0.966,YYYY,p2,1,1.79,"356,1276,879,1386",1512x2016,2026-6-8:YYYY:p2:0.97
000012,2026-03-23,0.766,YYYY,p2,1,1.72,"548,1169,1049,1251",1512x2016,2026-3-23:YYYY:p2:0.77
000014,2026-01-31,0.441,YY,p2,1,5.14,"0,687,1052,1364",1512x2016,2026-1-31:YY:p2:0.44
000015,2026-03-01,0.668,YYYY,p2,9,3.19,"6,1251,1147,1465",1512x2016,2026-3-1:YYYY:p2:0.67|2025-1-3:DMY4:p2:0.67|2025-9-2:YYYY:p2:0.67|2025-9-2:YYYY:p2:0.67|2025-1-3:DMY4:p2:0.67|2026-3-1:YYYY:p2:0.67|2025-1-3:DMY4:p2:0.67|2026-3-1:YYYY:p2:0.67|2025-9-2:YYYY:p2:0.67
000016,2026-01-22,0.844,YYYY,p2,1,2.35,"687,901,1087,980",1512x2016,2026-1-22:YYYY:p2:0.84
000017,2026-11-25,0.967,YYYY,p2,1,2.4,"558,696,816,772",1512x2016,2026-11-25:YYYY:p2:0.97
000018,2026-04-24,0.647,YY,erode2/p1@640,1,8.5,"278,506,709,563",1512x2016,2026-4-24:YY:erode2/p1@640:0.65
000021,2025-10-10,0.692,YYMM_GLUE,p2,1,3.24,"484,1175,1114,1262",1512x2016,2025-10-10:YYMM_GLUE:p2:0.69
000022,NONE-01-20,0.454,MMDD,erode2/p1@640,1,7.17,"0,688,666,835",1512x2016,None-1-20:MMDD:erode2/p1@640:0.45
000023,2025-10-10,0.647,YY,p2,1,1.84,"693,1049,1115,1194",1512x2016,2025-10-10:YY:p2:0.65
000024,2025-10-11,0.528,YY,ft/p2,1,19.25,"0,801,1500,1000",1512x2016,2025-10-11:YY:ft/p2:0.53
000026,2025-11-13,0.986,YYYY,p2,1,1.57,"611,995,983,1062",1512x2016,2025-11-13:YYYY:p2:0.99
000027,2026-04-27,0.909,DMY4,p1@640,2,2.59,"381,948,1002,1027",1512x2016,2026-4-27:DMY4:p1@640:0.91|2025-4-28:DMY4:p1@640:0.97
