image_id,label,base,tags,all4,sec
000004,2022-02-14,2027-02-14,b,2027-02-14,16.3
000012,2026-03-23,2026-03-23,,2026-03-23,1.5
000016,2026-01-22,2026-01-22,,2026-01-22,3.2
000021,2025-10-10,2025-10-10,,2025-10-10,3.7
000024,2025-10-11,NONE,,NONE,21.4
000028,2026-02-10,2026-02-10,,2026-02-10,3.9
000032,2026-03-22,2026-03-21,,2026-03-21,1.8
000035,2026-08-17,2026-08-17,,2026-08-17,2.1
000039,2026-05-26,2026-05-26,,2026-05-26,2.3
000042,2025-10-12,2025-10-02,,2025-10-02,1.8
000046,2025-10-10,2025-10-10,,2025-10-10,1.9
000049,2026-03-01,2026-03-01,,2026-03-01,2.6
000052,2025-11-19,2025-11-19,,2025-11-19,1.9
000056,2026-07-11,2026-12-07,2,2026-07-11,5.6
000060,2026-04-30,2026-04-30,,2026-04-30,1.8
000065,2026-01-12,2026-01-12,,2026-01-12,2.0
000068,2026-06-17,2026-06-17,,2026-06-17,7.2
000074,2026-08-28,2026-08-28,,2026-08-28,1.7
000077,2026-03-07,2026-03-07,,2026-03-07,1.3
000080,2026-09-16,2026-09-16,2,2026-09-16,2.9
000084,2026-03-31,2026-03-31,2,2026-03-31,2.4
000093,2026-04-23,2026-04-23,,2026-04-23,1.3
000098,2026-03-11,2026-03-11,,2026-03-11,2.5
000102,2025-11-13,2025-11-13,,2025-11-13,1.5
000107,2025-12-25,2025-12-25,,2025-12-25,2.3
000111,2025-10-25,2025-10-25,,2025-10-25,5.2
000114,2026-02-28,2026-02-28,,2026-02-28,4.5
000117,2025-11-28,2025-11-28,,2025-11-28,2.1
000120,2026-08-25,2026-08-25,,2026-08-25,1.8
000126,2026-06-12,2026-06-12,,2026-06-12,2.4
000129,2026-01-09,2026-01-09,,2026-01-09,1.8
000132,2026-08-21,2026-08-21,,2026-08-21,2.1
000136,2025-12-02,2025-12-02,,2025-12-02,2.4
000139,2026-07-26,2026-07-26,,2026-07-26,2.1
000143,2027-03-06,2027-03-06,,2027-03-06,3.7
000147,2026-03-21,2026-03-21,,2026-03-21,2.3
000150,2026-08-12,2026-08-12,,2026-08-12,2.4
000155,2026-06-22,2026-06-22,,2026-06-22,1.1
000159,2027-01-08,2027-01-01,,2027-01-01,6.3
000162,2027-06-12,2027-06-12,,2027-06-12,2.5
000165,2027-01-13,2027-01-13,,2027-01-13,1.7
000169,2026-03-18,2026-03-18,,2026-03-18,1.7
000172,2026-06-10,2026-06-10,2,2026-06-10,2.1
000175,2026-06-28,2026-06-28,2,2026-06-28,2.9
000178,2026-06-25,2026-06-25,,2026-06-25,1.5
000181,2026-09-08,2026-09-08,2,2026-09-08,1.8
000185,2028-03-15,2028-03-15,,2028-03-15,3.5
000189,2026-08-25,2026-08-25,,2026-08-25,3.2
000192,2026-06-24,2024-06-01,,2024-06-01,2.6
000196,2027-02-27,2027-02-27,,2027-02-27,2.0
000201,2027-03-30,2027-03-30,,2027-03-30,3.3
000204,2026-06-18,2026-06-18,,2026-06-18,3.2
000208,2026-04-13,NONE,,2026-04-13,2.3
000213,2026-03-20,2026-03-20,,2026-03-20,1.7
000218,2026-05-03,2026-05-03,,2026-05-03,2.3
000221,2026-07-15,2026-07-15,,2026-07-15,2.1
000225,2026-04-06,2026-04-06,,2026-04-06,3.7
000228,2025-10-20,2025-10-20,,2025-10-20,1.8
000232,2027-11-26,NONE,e,NONE,20.0
000236,2026-04-08,2026-04-08,,2026-04-08,3.0
000239,2026-07-10,2026-07-10,,2026-07-10,4.2
000242,2026-05-21,2025-09-22,2,2025-09-22,5.0
000245,2026-02-24,2026-02-24,2,2026-02-24,3.1
000249,2026-02-16,2026-02-16,,2026-02-16,3.6
000252,2026-07-09,2026-07-09,,2026-07-09,1.6
000256,2027-01-02,2027-01-02,,2027-01-02,2.0
000259,2025-11-09,2025-11-09,,2025-11-09,2.8
000262,2027-01-10,2027-01-10,b,2027-01-10,3.9
000265,2026-11-26,2026-11-26,,2026-11-26,1.6
000269,2026-05-15,2026-05-15,,2026-05-15,4.1
000272,2026-05-10,2026-05-10,,2026-05-10,1.7
000280,2026-03-23,2026-03-23,,2026-03-23,1.4
000283,2027-09-17,2027-09-17,,2027-09-17,2.0
000286,2027-03-11,2027-03-11,,2027-03-11,15.2
000289,2030-07-23,2030-07-23,,2030-07-23,2.0
000292,2026-02-13,2026-02-13,,2026-02-13,1.0
000296,2026-07-28,2026-07-28,,2026-07-28,1.8
000301,2027-04-09,2027-04-09,,2027-04-09,1.5
000304,2026-06-01,2026-06-01,,2026-06-01,1.8
000307,2025-11-14,2025-11-14,,2025-11-14,2.3
000312,2026-08-26,2026-08-26,,2026-08-26,2.0
000316,2027-03-01,2027-03-01,,2027-03-01,1.5
000320,2025-11-12,2025-11-12,2,2025-11-12,3.0
000324,2027-05-15,2027-05-15,,2027-05-15,4.1
000328,2025-12-25,2025-12-25,,2025-12-25,3.7
000331,2025-10-31,2025-10-31,,2025-10-31,1.7
000334,2026-03-15,2026-03-15,,2026-03-15,1.6
000337,2025-12-09,2025-12-09,,2025-12-09,1.8
000341,2026-04-29,2026-04-29,,2026-04-29,1.6
000345,2026-04-09,2026-04-09,,2026-04-09,2.8
000348,2026-04-02,2026-04-02,,2026-04-02,3.6
000352,2026-08-27,2026-08-27,,2026-08-27,2.9
000355,2028-06-17,2028-05-17,,2028-06-17,3.9
000359,2026-06-16,2026-06-16,,2026-06-16,4.6
000363,2026-04-21,2026-04-21,,2026-04-21,2.5
000366,2026-09-05,2026-09-05,,2026-09-05,3.0
000369,2027-06-25,2027-06-25,,2027-06-25,1.7
000372,2026-09-15,2026-09-15,,2026-09-15,2.0
000375,2026-05-31,2026-05-31,,2026-05-31,4.0
000378,2026-05-29,2026-05-29,2,2026-05-29,3.8
000381,2027-01-20,2027-01-20,,2027-01-20,2.9
000384,2026-09-08,2026-07-08,2,2026-07-08,2.3
000387,2027-01-21,2027-01-21,,2027-01-21,3.3
000392,2026-08-28,2026-08-28,2,2026-08-28,3.5
000396,2026-02-27,2026-02-27,,2026-02-27,2.3
000399,2027-01-31,2027-01-31,,2027-01-31,2.1
000403,2027-04-01,2027-04-01,,2027-04-01,6.9
000406,2026-08-27,NONE,2,NONE,19.6
000410,2027-04-13,2027-04-13,,2027-04-13,1.5
000414,2026-04-07,2026-04-07,,2026-04-07,1.1
000418,2026-09-08,2026-09-08,,2026-09-08,5.7
000421,2026-07-17,2026-07-17,,2026-07-17,1.5
000424,2026-03-28,2026-03-28,,2026-03-28,5.7
000427,2027-04-01,2027-04-01,,2027-04-01,1.5
000431,2026-03-17,2026-03-17,,2026-03-17,2.9
000435,2026-07-14,2026-07-14,,2026-07-14,2.0
000438,2026-02-19,NONE,t,NONE,18.3
000442,2025-11-30,2025-11-30,,2025-11-30,2.1
000445,2026-07-17,2026-07-17,,2026-07-17,13.4
000449,2026-01-28,2026-01-28,,2026-01-28,5.2
000452,2026-03-25,2025-09-NONE,2,NONE,21.6
000455,2026-02-10,2026-02-10,2,2026-02-10,1.7
000461,2026-11-28,2026-11-28,,2026-11-28,1.8
000465,2027-07-30,2027-07-30,t,2027-07-30,2.0
000468,2026-04-06,NONE,?,NONE,17.9
000471,2027-01-08,2027-01-08,,2027-01-08,3.9
000476,2026-07-06,2026-07-06,,2026-07-06,1.5
000479,2026-05-22,2026-05-22,,2026-05-22,2.2
000482,2026-11-14,2025-01-02,b,2025-01-02,10.4
000485,2027-09-17,NONE,,NONE,18.7
000490,2025-11-27,2025-11-27,,2025-11-27,1.6
000495,2026-02-19,2026-02-01,2,2026-02-01,38.7
000498,2026-03-07,2026-03-07,,2026-03-07,1.7
000502,2026-06-20,2026-06-20,,2026-06-20,5.7
000505,2026-03-02,NONE,,NONE,41.1
000510,2026-09-03,2026-09-03,,2026-09-03,6.1
000513,2026-09-03,2026-09-03,,2026-09-03,1.7
000517,2026-09-25,2026-09-25,,2026-09-25,2.7
000520,2026-09-15,2026-09-15,,2026-09-15,2.9
000523,2026-03-23,2026-03-23,2,2026-03-23,1.6
000527,2025-10-12,NONE,,NONE,23.1
000531,2026-02-28,2026-02-28,,2026-02-28,1.5
000534,2027-01-29,2027-01-29,,2027-01-29,8.5
000538,2026-02-06,2026-02-06,,2026-02-06,4.1
000541,2026-03-22,2026-03-22,,2026-03-22,1.7
000545,2027-07-09,2027-07-09,,2027-07-09,3.0
000548,2026-05-26,2026-05-26,,2026-05-26,2.7
000551,2026-12-19,2026-12-19,,2026-12-19,3.4
000554,2027-09-17,2027-09-17,,2027-09-17,1.5
000557,2026-08-12,2026-08-12,,2026-08-12,2.7
000560,2027-07-13,2027-07-13,,2027-07-13,3.8
000563,2026-01-10,NONE,,NONE,21.6
000566,2026-09-17,2026-09-17,,2026-09-17,1.9
000569,2025-11-02,2025-11-02,,2025-11-02,1.8
000572,NONE-10-15,NONE-10-15,,NONE-10-15,13.3
000575,NONE-10-14,NONE,,NONE,19.6
000578,2026-03-04,2026-03-04,,2026-03-04,2.0
000582,2025-11-21,2025-01-21,,2025-01-21,4.6
000585,2026-05-16,2020-02-02,,2020-02-02,6.5
000588,2025-11-28,2025-11-28,,2025-11-28,2.1
000591,2026-07-27,2026-07-27,,2026-07-27,1.5
000594,2026-08-25,2025-08-26,2,2026-08-25,2.3
000597,2026-09-02,2026-09-02,2,2026-09-02,2.6
000600,2026-08-31,2025-09-01,,2026-08-31,1.7
000603,2026-09-24,NONE,,NONE,21.4
000606,2026-10-01,2026-10-01,,2026-10-01,6.6
000609,2027-06-11,2027-06-11,,2027-06-11,1.3
000612,2026-05-07,2026-05-07,,2026-05-07,1.1
000616,2026-09-10,2026-09-10,,2026-09-10,1.0
000621,2026-08-25,2026-08-25,,2026-08-25,1.2
000624,2027-06-15,2027-06-15,2,2027-06-15,1.8
000627,2026-10-06,NONE,2,NONE,22.8
000632,2025-12-28,2025-12-28,,2025-12-28,1.6
000636,2026-03-09,2026-03-09,,2026-03-09,1.3
000641,2026-09-02,2026-09-02,,2026-09-02,2.3
000648,2028-08-25,NONE,,NONE,24.3
000651,2026-06-25,2026-06-25,,2026-06-25,1.6
000654,2028-07-02,2028-07-02,,2028-07-02,1.9
000657,2026-07-27,2026-07-27,,2026-07-27,1.1
000660,2026-02-28,2026-02-28,,2026-02-28,3.2
000664,2026-02-20,2026-02-20,,2026-02-20,2.1
000669,2026-09-02,2026-09-02,2,2026-09-02,1.8
000672,2026-02-08,2026-02-08,,2026-02-08,2.3
000676,2026-06-10,2026-06-10,,2026-06-10,1.0
000679,2027-09-17,2027-09-17,,2027-09-17,3.1
000683,2026-03-11,2026-03-11,,2026-03-11,1.2
000686,2026-10-12,2025-10-12,2,2025-10-12,2.8
000691,2026-09-22,2026-09-22,2,2026-09-22,2.5
000694,2026-09-01,2026-09-01,,2026-09-01,1.3
000700,2025-10-24,2025-10-24,,2025-10-24,1.3
000705,2026-06-29,2026-06-29,,2026-06-29,1.4
000709,2025-10-14,2025-10-14,,2025-10-14,1.6
000714,2026-03-12,2026-03-12,d,2026-03-12,1.4
000717,2025-10-12,2025-10-12,,2025-10-12,5.4
000720,2026-02-28,2026-02-28,,2026-02-28,1.3
000723,2026-05-10,NONE,,NONE,13.0
000726,2026-09-16,2026-09-16,,2026-09-16,1.9
000730,2026-02-26,2026-02-26,,2026-02-26,1.4
000733,2026-03-24,2026-03-NONE,,2026-03-NONE,2.2
000737,2026-03-04,2026-03-04,,2026-03-04,1.8
000742,2026-05-01,2026-05-01,,2026-05-01,2.1
000745,2026-01-10,2026-01-10,,2026-01-10,2.3
000748,2027-01-22,2027-01-22,,2027-01-22,1.9
000754,2026-05-24,2026-05-24,,2026-05-24,2.5
000758,2026-03-11,2026-03-11,,2026-03-11,1.8
000761,NONE-11-11,NONE-11-11,,NONE-11-11,1.9
000764,2026-03-12,NONE,,NONE,17.2
000767,2026-03-12,2026-03-NONE,b,2026-03-NONE,8.1
000770,2030-04-NONE,NONE,,NONE,15.0
000773,NONE-12-10,NONE-12-10,2,NONE-12-10,4.4
000776,2026-01-09,2026-01-09,,2026-01-09,1.2
000779,2026-06-03,2026-06-03,,2026-06-03,3.8
000783,2025-12-21,2025-12-21,,2025-12-21,1.7
000789,NONE-12-19,NONE-12-19,,NONE-12-19,1.8
000794,2026-10-27,2026-10-27,,2026-10-27,1.3
000798,NONE-12-20,2024-02-24,,2024-02-24,1.4
000802,2026-07-03,2026-07-03,,2026-07-03,3.9
000807,2026-05-29,2026-05-29,,2026-05-29,1.3
000810,2026-03-31,2026-03-31,,2026-03-31,1.5
000815,2026-06-22,2026-06-22,,2026-06-22,1.5
000819,2026-05-18,2026-05-18,,2026-05-18,3.5
000824,NONE-12-18,NONE-12-18,2,NONE-12-18,4.0
000828,NONE-12-21,NONE-12-21,,NONE-12-21,2.2
000831,2026-07-16,2026-07-16,2,2026-07-16,4.2
000835,2026-02-02,2026-02-02,,2026-02-02,1.8
000842,2026-07-03,2026-07-03,,2026-07-03,3.6
