image_id,label,old,tags,base,ft_p2,ft_union,ft_fb,sec
000002,2025-12-11,2025-12-11,,2025-12-11,2025-12-11,2025-12-11,2025-12-11,5.2
000009,2026-10-29,2026-10-29,,2026-10-29,2026-10-29,2026-10-29,2026-10-29,8.7
000014,2026-01-31,2026-01-31,,2026-01-31,2026-01-31,2026-01-31,2026-01-31,16.7
000017,2026-11-25,2026-11-25,,2026-11-25,2026-11-25,2026-11-25,2026-11-25,4.4
000022,2025-10-14,NONE-01-20,,NONE-01-20,NONE-01-20,NONE-01-20,NONE-01-20,13.6
000026,2025-11-13,2025-11-13,,2025-11-13,2025-11-13,2025-11-13,2025-11-13,3.0
000030,2017-08-28,2017-08-28,,2017-08-28,2017-08-28,2017-08-28,2017-08-28,6.9
000033,2026-06-17,2026-06-17,,2026-06-17,2026-06-17,2026-06-17,2026-06-17,3.3
000037,2026-07-17,2026-07-17,,2026-07-17,2026-07-17,2026-07-17,2026-07-17,2.9
000040,2025-10-11,2025-10-11,,2025-10-11,2025-10-11,2025-10-11,2025-10-11,2.6
000044,2026-02-07,2026-02-07,,2026-02-07,2026-02-07,2026-02-07,2026-02-07,9.6
000047,2027-04-14,2027-04-04,,2027-04-04,2027-04-04,2027-04-04,2027-04-04,2.4
000050,2025-09-30,2025-09-30,,2025-09-30,2025-09-30,2025-09-30,2025-09-30,11.9
000053,2025-12-20,2025-12-20,,2025-12-20,2025-12-20,2025-12-20,2025-12-20,4.8
000058,2027-03-27,2027-03-27,,2027-03-27,2027-03-27,2027-03-27,2027-03-27,4.4
000062,2026-05-26,2026-05-26,,2026-05-26,2026-05-26,2026-05-26,2026-05-26,4.2
000066,2026-08-17,2026-08-17,,2026-08-17,2026-08-01,2026-08-17,2026-08-01,4.5
000071,2027-07-20,2027-07-20,2,2027-07-20,2027-07-20,2027-07-20,2027-07-20,5.1
000075,2026-01-06,2026-01-06,,2026-01-06,2026-01-06,2026-01-06,2026-01-06,4.9
000078,2025-06-19,2025-06-19,,2025-06-19,2025-06-19,2025-06-19,2025-06-19,7.0
000081,2026-05-18,2026-05-18,2,2026-05-18,2026-05-18,2026-05-18,2026-05-18,8.1
000085,2026-03-30,2026-09-30,,2026-09-30,2026-09-30,2026-09-30,2026-09-30,5.3
000094,2027-06-30,2027-06-30,,2027-06-30,2030-06-02,2030-06-02,2030-06-02,5.5
000100,2026-02-11,2026-02-11,,2026-02-11,2026-02-11,2026-02-11,2026-02-11,3.7
000103,2025-12-18,2025-12-18,,2025-12-18,2025-12-18,2025-12-18,2025-12-18,2.5
000109,2025-12-12,2025-12-12,b,2025-12-12,2025-12-12,2025-12-12,2025-12-12,4.2
000112,2025-10-17,2025-10-17,,2025-10-17,2025-10-17,2025-10-17,2025-10-17,2.1
000115,2025-12-08,2025-12-08,,2025-12-08,2025-12-08,2025-12-08,2025-12-08,14.2
000118,2026-03-23,2026-05-25,,2026-05-25,2026-03-23,2026-05-25,2026-03-23,3.4
000121,2027-04-13,2027-04-13,,2027-04-13,2027-04-13,2027-04-13,2027-04-13,2.0
000127,2026-04-27,2026-04-27,,2026-04-27,2026-04-27,2026-04-27,2026-04-27,2.9
000130,2027-02-05,2027-02-05,,2027-02-05,2027-02-05,2027-02-05,2027-02-05,2.9
000134,2026-09-23,2026-09-23,,2026-09-23,2026-09-23,2026-09-23,2026-09-23,3.7
000137,2026-03-26,2026-03-26,,2026-03-26,2026-03-26,2026-03-26,2026-03-26,2.6
000140,2026-07-14,2026-07-14,,2026-07-14,2026-07-14,2026-07-14,2026-07-14,3.8
000144,2027-03-25,2027-03-25,,2027-03-25,2027-03-25,2027-03-25,2027-03-25,6.3
000148,2026-02-26,2026-02-26,2,2026-02-26,2026-02-26,2026-02-26,2026-02-26,4.4
000151,2026-09-07,2026-09-07,,2026-09-07,2026-09-07,2026-09-07,2026-09-07,4.4
000156,2026-07-29,2026-07-29,,2026-07-29,2026-07-29,2026-07-29,2026-07-29,3.7
000160,2026-10-27,2025-04-02,2,2025-04-02,2025-04-02,2025-04-02,2025-04-02,3.5
