image_id,label,old,tags,kct,kct_tier,sec
000004,2022-02-14,2027-02-14,b,2027-02-14,2027-02-14,15.9
000012,2026-03-23,2026-03-23,,2026-03-23,2026-03-23,1.7
000016,2026-01-22,2026-01-22,,2026-01-22,2026-01-22,3.0
000021,2025-10-10,2025-10-10,,2025-10-10,2025-10-10,4.1
000024,2025-10-11,NONE,,NONE,NONE,19.1
000028,2026-02-10,2026-02-10,,2026-02-10,2026-02-10,3.4
000032,2026-03-22,2026-03-21,,2026-03-21,2026-03-21,1.6
000035,2026-08-17,2026-08-17,,2026-08-17,2026-08-17,1.2
000039,2026-05-26,2026-05-26,,2026-05-26,2026-05-26,1.3
000042,2025-10-12,2025-10-02,,2025-10-02,2025-10-02,1.2
000046,2025-10-10,2025-10-10,,2025-10-10,2025-10-10,1.7
000049,2026-03-01,2026-03-01,,2026-03-01,2026-03-01,2.1
000052,2025-11-19,2025-11-19,,2025-11-19,2025-11-19,1.9
000056,2026-07-11,2026-12-07,2,2026-12-07,2026-12-07,6.8
000060,2026-04-30,2026-04-30,,2026-04-30,2026-04-30,1.6
000065,2026-01-12,2026-01-12,,2026-01-12,2026-01-12,1.5
000068,2026-06-17,2026-06-17,,2026-06-17,2026-06-17,5.5
000074,2026-08-28,2026-08-28,,2026-08-28,2026-08-28,1.3
000077,2026-03-07,2026-03-07,,2026-03-07,2026-03-07,1.1
000080,2026-09-16,2026-09-16,2,2026-09-16,2026-09-16,2.6
000084,2026-03-31,2026-03-31,2,2026-03-31,2026-03-31,2.5
000093,2026-04-23,2026-04-23,,2026-04-23,2026-04-23,1.2
000098,2026-03-11,2026-03-11,,2026-03-11,2026-03-11,2.9
000102,2025-11-13,2025-11-13,,2025-11-13,2025-11-13,1.5
000107,2025-12-25,2025-12-25,,2025-12-25,2025-12-25,1.5
000111,2025-10-25,2025-10-25,,2025-10-25,2025-10-25,4.0
000114,2026-02-28,2026-02-28,,2026-02-28,2026-02-28,3.2
000117,2025-11-28,2025-11-28,,2025-11-28,2025-11-28,1.7
000120,2026-08-25,2026-08-25,,2026-08-25,2026-08-25,1.6
000126,2026-06-12,2026-06-12,,2026-06-12,2026-06-12,2.1
000129,2026-01-09,2026-01-09,,2026-01-09,2026-01-09,1.4
000132,2026-08-21,2026-08-21,,2026-08-21,2026-08-21,1.7
000136,2025-12-02,2025-12-02,,2025-12-02,2025-12-02,2.7
000139,2026-07-26,2026-07-26,,2026-07-26,2026-07-26,1.9
000143,2027-03-06,2027-03-06,,2027-03-06,2027-03-06,3.5
000147,2026-03-21,2026-03-21,,2026-03-21,2026-03-21,1.5
000150,2026-08-12,2026-08-12,,2026-08-12,2026-08-12,2.4
000155,2026-06-22,2026-06-22,,2026-06-22,2026-06-22,1.2
000159,2027-01-08,2027-01-01,,2027-01-01,2027-01-01,5.9
000162,2027-06-12,2027-06-12,,2027-06-12,2027-06-12,2.5
000165,2027-01-13,2027-01-13,,2027-01-13,2027-01-13,1.2
000169,2026-03-18,2026-03-18,,2026-03-18,2026-03-18,1.5
000172,2026-06-10,2026-06-10,2,2026-06-10,2026-06-10,1.6
000175,2026-06-28,2026-06-28,2,2026-06-28,2026-06-28,2.4
000178,2026-06-25,2026-06-25,,2026-06-25,2026-06-25,1.9
000181,2026-09-08,2026-09-08,2,2026-09-08,2026-09-08,1.4
000185,2028-03-15,2028-03-15,,2028-03-15,2028-03-15,3.6
000189,2026-08-25,2026-08-25,,2026-08-25,2026-08-25,2.5
000192,2026-06-24,2024-06-01,,2024-06-01,2024-06-01,2.6
000196,2027-02-27,2027-02-27,,2027-02-27,2027-02-27,1.8
000201,2027-03-30,2027-03-30,,2027-03-30,2027-03-30,3.1
000204,2026-06-18,2026-06-18,,2026-06-18,2026-06-18,3.5
000208,2026-04-13,NONE,,2026-04-13,2026-04-13,2.2
000213,2026-03-20,2026-03-20,,2026-03-20,2026-03-20,2.0
000218,2026-05-03,2026-05-03,,2026-05-03,2026-05-03,2.3
000221,2026-07-15,2026-07-15,,2026-07-15,2026-07-15,2.1
000225,2026-04-06,2026-04-06,,2026-04-06,2026-04-06,4.3
000228,2025-10-20,2025-10-20,,2025-10-20,2025-10-20,1.6
000232,2027-11-26,NONE,e,NONE,NONE,18.0
000236,2026-04-08,2026-04-08,,2026-04-08,2026-04-08,3.7
000239,2026-07-10,2026-07-10,,2026-07-10,2026-07-10,4.5
000242,2026-05-21,2025-09-22,2,2025-09-22,2025-09-22,4.6
000245,2026-02-24,2026-02-24,2,2026-02-24,2026-02-24,3.0
000249,2026-02-16,2026-02-16,,2026-02-16,2026-02-16,4.0
000252,2026-07-09,2026-07-09,,2026-07-09,2026-07-09,1.4
000256,2027-01-02,2027-01-02,,2027-01-02,2027-01-02,2.0
000259,2025-11-09,2025-11-09,,2025-11-09,2025-11-09,2.4
000262,2027-01-10,2027-01-10,b,2027-01-10,2027-01-10,3.8
000265,2026-11-26,2026-11-26,,2026-11-26,2026-11-26,1.3
000269,2026-05-15,2026-05-15,,2026-05-15,2026-05-15,3.9
000272,2026-05-10,2026-05-10,,2026-05-10,2026-05-10,1.7
000280,2026-03-23,2026-03-23,,2026-03-23,2026-03-23,1.3
000283,2027-09-17,2027-09-17,,2027-09-17,2027-09-17,1.8
000286,2027-03-11,2027-03-11,,2027-03-11,2027-03-11,16.5
000289,2030-07-23,2030-07-23,,2030-07-23,2030-07-23,2.3
000292,2026-02-13,2026-02-13,,2026-02-13,2026-02-13,1.1
000296,2026-07-28,2026-07-28,,2026-07-28,2026-07-28,1.7
000301,2027-04-09,2027-04-09,,2027-04-09,2027-04-09,1.5
000304,2026-06-01,2026-06-01,,2026-06-01,2026-06-01,1.9
000307,2025-11-14,2025-11-14,,2025-11-14,2025-11-14,2.0
000312,2026-08-26,2026-08-26,,2026-08-26,2026-08-26,1.8
000316,2027-03-01,2027-03-01,,2027-03-01,2027-03-01,1.5
000320,2025-11-12,2025-11-12,2,2025-11-12,2025-11-12,2.8
000324,2027-05-15,2027-05-15,,2027-05-15,2027-05-15,4.4
000328,2025-12-25,2025-12-25,,2025-12-25,2025-12-25,3.9
000331,2025-10-31,2025-10-31,,2025-10-31,2025-10-31,1.8
000334,2026-03-15,2026-03-15,,2026-03-15,2026-03-15,1.5
000337,2025-12-09,2025-12-09,,2025-12-09,2025-12-09,1.4
000341,2026-04-29,2026-04-29,,2026-04-29,2026-04-29,1.6
000345,2026-04-09,2026-04-09,,2026-04-09,2026-04-09,2.8
000348,2026-04-02,2026-04-02,,2026-04-02,2026-04-02,3.6
000352,2026-08-27,2026-08-27,,2026-08-27,2026-08-27,3.2
000355,2028-06-17,2028-05-17,,2028-06-17,2028-06-17,3.5
000359,2026-06-16,2026-06-16,,2026-06-16,2026-06-16,4.2
000363,2026-04-21,2026-04-21,,2026-04-21,2026-04-21,2.1
000366,2026-09-05,2026-09-05,,2026-09-05,2026-09-05,2.9
000369,2027-06-25,2027-06-25,,2027-06-25,2027-06-25,2.1
000372,2026-09-15,2026-09-15,,2026-09-15,2026-09-15,2.3
000375,2026-05-31,2026-05-31,,2026-05-31,2026-05-31,6.3
000378,2026-05-29,2026-05-29,2,2026-05-29,2026-05-29,4.1
000381,2027-01-20,2027-01-20,,2027-01-20,2027-01-20,2.0
000384,2026-09-08,2026-07-08,2,2026-07-08,2026-07-08,1.8
000387,2027-01-21,2027-01-21,,2027-01-21,2027-01-21,3.2
000392,2026-08-28,2026-08-28,2,2026-08-28,2026-08-28,3.4
000396,2026-02-27,2026-02-27,,2026-02-27,2026-02-27,2.9
000399,2027-01-31,2027-01-31,,2027-01-31,2027-01-31,2.8
000403,2027-04-01,2027-04-01,,2027-04-01,2027-04-01,6.2
000406,2026-08-27,NONE,2,NONE,NONE,18.1
000410,2027-04-13,2027-04-13,,2027-04-13,2027-04-13,1.7
000414,2026-04-07,2026-04-07,,2026-04-07,2026-04-07,1.2
000418,2026-09-08,2026-09-08,,2026-09-08,2026-09-08,5.4
000421,2026-07-17,2026-07-17,,2026-07-17,2026-07-17,1.4
000424,2026-03-28,2026-03-28,,2026-03-28,2026-03-28,6.5
000427,2027-04-01,2027-04-01,,2027-04-01,2027-04-01,1.5
000431,2026-03-17,2026-03-17,,2026-03-17,2026-03-17,2.9
000435,2026-07-14,2026-07-14,,2026-07-14,2026-07-14,1.9
000438,2026-02-19,NONE,t,NONE,NONE,17.8
000442,2025-11-30,2025-11-30,,2025-11-30,2025-11-30,2.4
000445,2026-07-17,2026-07-17,,2026-07-17,2026-07-17,12.9
000449,2026-01-28,2026-01-28,,2026-01-28,2026-01-28,4.6
000452,2026-03-25,2025-09-NONE,2,NONE,NONE,21.8
000455,2026-02-10,2026-02-10,2,2026-02-10,2026-02-10,1.5
000461,2026-11-28,2026-11-28,,2026-11-28,2026-11-28,1.9
000465,2027-07-30,2027-07-30,t,2027-07-30,2027-07-30,2.5
000468,2026-04-06,NONE,?,NONE,NONE,17.4
000471,2027-01-08,2027-01-08,,2027-01-08,2027-01-08,3.5
000476,2026-07-06,2026-07-06,,2026-07-06,2026-07-06,1.7
000479,2026-05-22,2026-05-22,,2026-05-22,2026-05-22,2.2
000482,2026-11-14,2025-01-02,b,2025-01-02,2025-01-02,10.5
000485,2027-09-17,NONE,,NONE,NONE,18.6
000490,2025-11-27,2025-11-27,,2025-11-27,2025-11-27,1.1
000495,2026-02-19,2026-02-01,2,2026-02-01,2026-02-01,40.0
000498,2026-03-07,2026-03-07,,2026-03-07,2026-03-07,1.5
000502,2026-06-20,2026-06-20,,2026-06-20,2026-06-20,4.3
000505,2026-03-02,NONE,,NONE,NONE,29.1
000510,2026-09-03,2026-09-03,,2026-09-03,2026-09-03,6.2
000513,2026-09-03,2026-09-03,,2026-09-03,2026-09-03,2.0
000517,2026-09-25,2026-09-25,,2026-09-25,2026-09-25,2.4
000520,2026-09-15,2026-09-15,,2026-09-15,2026-09-15,2.6
000523,2026-03-23,2026-03-23,2,2026-03-23,2026-03-23,1.7
000527,2025-10-12,NONE,,NONE,NONE,22.8
000531,2026-02-28,2026-02-28,,2026-02-28,2026-02-28,1.8
000534,2027-01-29,2027-01-29,,2027-01-29,2027-01-29,7.8
000538,2026-02-06,2026-02-06,,2026-02-06,2026-02-06,4.1
000541,2026-03-22,2026-03-22,,2026-03-22,2026-03-22,1.1
000545,2027-07-09,2027-07-09,,2027-07-09,2027-07-09,3.5
000548,2026-05-26,2026-05-26,,2026-05-26,2026-05-26,2.7
000551,2026-12-19,2026-12-19,,2026-12-19,2026-12-19,3.1
000554,2027-09-17,2027-09-17,,2027-09-17,2027-09-17,1.9
000557,2026-08-12,2026-08-12,,2026-08-12,2026-08-12,3.0
000560,2027-07-13,2027-07-13,,2027-07-13,2027-07-13,3.8
000563,2026-01-10,NONE,,NONE,NONE,20.2
000566,2026-09-17,2026-09-17,,2026-09-17,2026-09-17,1.8
000569,2025-11-02,2025-11-02,,2025-11-02,2025-11-02,1.8
000572,NONE-10-15,NONE-10-15,,NONE-10-15,NONE-10-15,12.6
000575,NONE-10-14,NONE,,NONE,NONE,18.6
000578,2026-03-04,2026-03-04,,2026-03-04,2026-03-04,2.0
000582,2025-11-21,2025-01-21,,2025-01-21,2025-01-21,5.7
000585,2026-05-16,2020-02-02,,2020-02-02,2020-02-02,7.5
000588,2025-11-28,2025-11-28,,2025-11-28,2025-11-28,2.2
000591,2026-07-27,2026-07-27,,2026-07-27,2026-07-27,1.6
000594,2026-08-25,2025-08-26,2,2026-08-25,2026-08-25,2.0
000597,2026-09-02,2026-09-02,2,2026-09-02,2026-09-02,2.2
000600,2026-08-31,2025-09-01,,2026-08-31,2026-08-31,1.8
000603,2026-09-24,NONE,,NONE,NONE,24.4
