image_id,label,old,base,keep,keep_sp,sec
000001,2027-06-26,2027-06-26,2027-06-26,2027-06-26,2027-06-26,4.4
000004,2022-02-14,2027-02-14,2027-02-14,2027-02-14,2027-02-14,15.7
000008,2027-06-29,2027-06-29,2027-06-29,2027-06-29,2027-06-29,1.3
000011,2026-02-05,2026-02-05,2026-02-05,2026-02-05,2026-02-05,2.3
000014,2026-01-31,2026-01-31,2026-01-31,2026-01-31,2026-01-31,8.9
000018,2026-04-24,2026-04-24,2026-04-24,2026-04-24,2026-04-24,11.6
000022,2025-10-14,NONE-01-20,NONE-01-20,NONE-01-20,NONE-01-20,12.5
000025,2026-06-11,2026-06-11,2026-06-11,2026-06-11,2026-06-11,2.1
000028,2026-02-10,2026-02-10,2026-02-10,2026-02-10,2026-02-10,5.9
000031,2026-02-14,2026-02-14,2026-02-14,2026-02-14,2026-02-14,2.1
000034,2026-06-30,2026-06-30,2026-06-30,2026-06-30,2026-06-30,2.3
000037,2026-07-17,2026-07-17,2026-07-17,2026-07-17,2026-07-17,1.5
000040,2025-10-11,2025-10-11,2025-10-11,2025-10-11,2025-10-11,1.7
000043,NONE-10-14,NONE-10-14,NONE-10-14,NONE-10-14,NONE-10-14,4.2
000046,2025-10-10,2025-10-10,2025-10-10,2025-10-10,2025-10-10,2.0
000049,2026-03-01,2026-03-01,2026-03-01,2026-03-01,2026-03-01,4.1
000052,2025-11-19,2025-11-19,2025-11-19,2025-11-19,2025-11-19,2.8
000055,2026-08-04,2026-08-04,2026-08-04,2026-08-04,2026-08-04,3.8
000059,2027-06-22,2022-06-22,2022-06-22,2027-06-22,2027-06-22,17.7
000062,2026-05-26,2026-05-26,2026-05-26,2026-05-26,2026-05-26,3.4
000066,2026-08-17,2026-08-17,2026-08-17,2026-08-17,2026-08-17,3.5
000069,2026-06-24,2026-06-24,2026-06-24,2026-06-24,2026-06-24,2.4
000073,2026-03-12,2026-03-12,2026-03-12,2026-03-12,2026-03-12,2.7
000076,2026-08-17,2026-08-17,2026-08-17,2026-08-17,2026-08-17,2.8
000079,2026-01-31,2026-01-31,2026-01-31,2026-01-31,2026-01-31,3.2
000085,2026-03-30,2026-09-30,2026-09-30,2026-09-30,2026-09-30,2.7
000091,2027-05-22,2027-05-22,2027-05-22,2027-05-22,2027-05-22,3.4
000094,2027-06-30,2027-06-30,2027-06-30,2027-06-30,2027-06-30,1.9
000097,2025-11-19,2025-11-19,2025-11-19,2025-11-19,2025-11-19,3.9
000100,2026-02-11,2026-02-11,2026-02-11,2026-02-11,2026-02-11,3.2
000103,2025-12-18,2025-12-18,2025-12-18,2025-12-18,2025-12-18,2.6
000106,NONE-10-20,NONE,NONE,NONE,NONE,30.4
000109,2025-12-12,2025-12-12,2025-12-12,2025-12-12,2025-12-12,5.7
000112,2025-10-17,2025-10-17,2025-10-17,2025-10-17,2025-10-17,2.1
000115,2025-12-08,2025-12-08,2025-12-08,2025-12-08,2025-12-08,17.0
000118,2026-03-23,2026-05-25,2026-05-25,2026-05-25,2026-05-25,1.9
000121,2027-04-13,2027-04-13,2027-04-13,2027-04-13,2027-04-13,1.8
000124,2026-01-02,2026-01-02,2026-01-02,2026-01-02,2026-01-02,1.6
000127,2026-04-27,2026-04-27,2026-04-27,2026-04-27,2026-04-27,2.5
000130,2027-02-05,2027-02-05,2027-02-05,2027-02-05,2027-02-05,1.9
000133,2025-11-25,2025-11-25,2025-11-25,2025-11-25,2025-11-25,12.4
000136,2025-12-02,2025-12-02,2025-12-02,2025-12-02,2025-12-02,1.3
000139,2026-07-26,2026-07-26,2026-07-26,2026-07-26,2026-07-26,1.6
000142,2026-05-14,2026-05-14,2026-05-14,2026-05-14,2026-05-14,1.4
000145,2027-03-24,2027-03-24,2027-03-24,2027-03-24,2027-03-24,10.2
000149,2026-04-28,2026-04-28,2026-04-28,2026-04-28,2026-04-28,9.2
000152,2026-07-31,2026-07-31,2026-07-31,2026-07-31,2026-07-31,2.4
000155,2026-06-22,2026-06-22,2026-06-22,2026-06-22,2026-06-22,1.2
000158,2028-07-20,2028-07-20,2028-07-20,2028-07-20,2028-07-20,6.4
000162,2027-06-12,2027-06-12,2027-06-12,2027-06-12,2027-06-12,4.2
000165,2027-01-13,2027-01-13,2027-01-13,2027-01-13,2027-01-13,1.9
000168,2026-02-16,2026-02-16,2026-02-16,2026-02-16,2026-02-16,1.7
000173,2026-09-17,2026-09-17,2026-09-17,2026-09-17,2026-09-17,2.0
000182,2026-10-01,2026-10-01,2026-10-01,2026-10-01,2026-10-01,3.5
000186,2028-04-14,2028-04-14,2028-04-14,2028-04-14,2028-04-14,1.8
000189,2026-08-25,2026-08-25,2026-08-25,2026-08-25,2026-08-25,3.2
000192,2026-06-24,2024-06-01,2024-06-01,2024-06-01,2024-06-01,2.9
000195,2027-07-01,2027-07-01,2027-07-01,2027-07-01,2027-07-01,2.3
000198,2026-05-08,2022-12-15,2022-12-15,2022-12-15,2022-12-15,4.1
000201,2027-03-30,2027-03-30,2027-03-30,2027-03-30,2027-03-30,4.1
000204,2026-06-18,2026-06-18,2026-06-18,2026-06-18,2026-06-18,4.7
000207,2026-09-24,2026-09-24,2026-09-24,2026-09-24,2026-09-24,2.7
000210,2027-05-20,2031-05-07,2031-05-07,2031-05-07,2031-05-07,2.4
000213,2026-03-20,2026-03-20,2026-03-20,2026-03-20,2026-03-20,2.6
000216,2026-03-16,2026-03-01,2026-03-01,2026-03-01,2026-03-01,2.8
000219,2026-09-07,2026-09-07,2026-09-07,2026-09-07,2026-09-07,1.9
000222,2026-03-25,2026-03-25,2026-03-25,2026-03-25,2026-03-25,2.6
000225,2026-04-06,2026-04-06,2026-04-06,2026-04-06,2026-04-06,5.1
000228,2025-10-20,2025-10-20,2025-10-20,2025-10-20,2025-10-20,2.1
000231,2028-05-27,2025-01-01,2025-01-01,2025-01-01,2025-01-01,7.6
000235,2026-03-08,2026-03-08,2026-03-08,2026-03-08,2026-03-08,3.8
000239,2026-07-10,2026-07-10,2026-07-10,2026-07-10,2026-07-10,6.9
000243,2026-08-17,2026-08-17,2026-08-17,2026-08-17,2026-08-17,2.7
000249,2026-02-16,2026-02-16,2026-02-16,2026-02-16,2026-02-16,4.5
000255,2026-08-20,NONE-08-20,NONE-08-20,NONE-08-20,NONE-08-20,14.5
000258,2026-05-30,2026-05-30,2026-05-30,2026-05-30,2026-05-30,8.2
000262,2027-01-10,2027-01-10,2027-01-10,2027-01-10,2027-01-10,4.6
000265,2026-11-26,2026-11-26,2026-11-26,2026-11-26,2026-11-26,1.6
000268,2026-07-14,2026-07-14,2026-07-14,2026-07-14,2026-07-14,5.1
000271,2026-03-24,2026-03-22,2026-03-22,2026-03-22,2026-03-22,2.8
000275,2026-04-23,2026-04-23,2026-04-23,2026-04-23,2026-04-23,7.2
000281,2026-07-15,2026-07-15,2026-07-15,2026-07-15,2026-07-15,4.1
000284,2026-08-20,2026-08-20,2026-08-20,2026-08-20,2026-08-20,6.2
000287,2027-02-18,2027-02-18,2027-02-18,2027-02-18,2027-02-18,7.1
000290,2027-03-02,2027-03-02,2027-03-02,2027-03-02,2027-03-02,7.6
000293,2025-10-24,2025-10-24,2025-10-24,2025-10-24,2025-10-24,2.8
000297,2026-04-08,2026-04-08,2026-04-08,2026-04-08,2026-04-08,1.1
000300,2026-05-21,2026-05-21,2026-05-21,2026-05-21,2026-05-21,2.3
000303,2026-07-31,2026-07-31,2026-07-31,2026-07-31,2026-07-31,3.1
000306,2026-09-16,2026-09-16,2026-09-16,2026-09-16,2026-09-16,2.3
000309,2027-04-01,2027-04-01,2027-04-01,2027-04-01,2027-04-01,2.2
000312,2026-08-26,2026-08-26,2026-08-26,2026-08-26,2026-08-26,1.9
000315,2026-07-19,2026-07-19,2026-07-19,2026-07-19,2026-07-19,1.4
000318,2025-11-09,2025-11-09,2025-11-09,2025-11-09,2025-11-09,1.4
000322,2025-10-29,2025-10-29,2025-10-29,2025-10-29,2025-10-29,1.9
000326,2025-10-18,2025-10-18,2025-10-18,2025-10-18,2025-10-18,3.4
000329,2025-12-25,2025-12-25,2025-12-25,2025-12-25,2025-12-25,3.3
000333,2025-11-07,2025-11-07,2025-11-07,2025-11-07,2025-11-07,2.0
000336,2025-11-20,2025-11-20,2025-11-20,2025-11-20,2025-11-20,14.7
000339,2026-08-18,2026-08-18,2026-08-18,2026-08-18,2026-08-18,1.2
000342,2026-06-22,2026-06-22,2026-06-22,2026-06-22,2026-06-22,1.8
000345,2026-04-09,2026-04-09,2026-04-09,2026-04-09,2026-04-09,2.8
000348,2026-04-02,2026-04-02,2026-04-02,2026-04-02,2026-04-02,2.9
000351,2026-05-03,2026-05-03,2026-05-03,2026-05-03,2026-05-03,3.0
000354,2027-07-06,2027-07-06,2027-07-06,2027-07-06,2027-07-06,3.1
000357,2027-08-11,2027-08-11,2027-08-11,2027-08-11,2027-08-11,2.0
000361,2026-12-19,2026-12-12,2026-12-12,2026-12-12,2026-12-12,11.8
000364,2026-06-04,2026-06-04,2026-06-04,2026-06-04,2026-06-04,8.9
000367,2026-05-18,2026-05-18,2026-05-18,2026-05-18,2026-05-18,4.7
000370,2026-09-02,2025-09-02,2025-09-02,2025-09-02,2025-09-02,11.0
000373,2026-09-18,NONE,NONE,NONE,NONE,28.4
000376,2025-10-07,2025-10-07,2025-10-07,2025-10-07,2025-10-07,6.5
