image_id,label,old,base,keep,keep_sp,sec
000007,2026-06-25,2026-06-25,2026-06-25,2026-06-25,2026-06-25,4.1
000015,2026-03-01,2026-03-01,2026-03-01,2026-03-01,2026-03-01,6.6
000019,2026-04-09,2026-04-09,2026-04-09,2026-04-09,2026-04-09,1.6
000056,2026-07-11,2026-12-07,2026-12-07,2026-12-07,2026-12-07,13.2
000063,2026-06-16,2026-06-16,2026-06-16,2026-06-16,2026-06-16,1.6
000071,2027-07-20,2027-07-20,2027-07-20,2027-07-20,2027-07-20,3.5
000080,2026-09-16,2026-09-16,2026-09-16,2026-09-16,2026-09-16,4.7
000081,2026-05-18,2026-05-18,2026-05-18,2026-05-18,2026-05-18,2.3
000084,2026-03-31,2026-03-31,2026-03-31,2026-03-31,2026-03-31,3.6
000086,2026-03-14,2026-03-14,2026-03-14,2026-03-14,2026-03-14,3.2
000087,2026-08-10,2026-08-10,2026-08-10,2026-08-10,2026-08-10,3.0
000088,2026-09-03,2026-09-03,2026-09-03,2026-09-03,2026-09-03,3.4
000148,2026-02-26,2026-02-26,2026-02-26,2026-02-26,2026-02-26,1.9
000160,2026-10-27,2025-04-02,2025-04-02,2025-04-02,2025-04-02,1.6
000171,2026-05-27,2026-05-27,2026-05-27,2026-05-27,2026-05-27,1.9
000172,2026-06-10,2026-06-10,2026-06-10,2026-06-10,2026-06-10,2.0
000174,2026-09-05,2026-09-05,2026-09-05,2026-09-05,2026-09-05,4.2
000175,2026-06-28,2026-06-28,2026-06-28,2026-06-28,2026-06-28,3.3
000176,2026-09-22,2026-09-22,2026-09-22,2026-09-22,2026-09-22,4.8
000179,2026-06-29,2025-09-30,2025-09-30,2026-06-29,2026-06-29,3.4
000180,2026-06-25,2026-06-25,2026-06-25,2026-06-25,2026-06-25,1.4
000181,2026-09-08,2026-09-08,2026-09-08,2026-09-08,2026-09-08,1.5
000183,2027-07-28,2027-07-28,2027-07-28,2027-07-28,2027-07-28,4.9
000234,2026-10-27,2027-10-26,2027-10-26,2027-10-26,2027-10-26,1.5
000238,2026-09-10,2026-09-10,2026-09-10,2026-09-10,2026-09-10,1.9
000242,2026-05-21,2025-09-22,2025-09-22,2025-09-22,2025-09-22,4.6
000244,2026-06-21,2026-06-21,2026-06-21,2026-06-21,2026-06-21,3.5
000245,2026-02-24,2026-02-24,2026-02-24,2026-02-24,2026-02-24,2.8
000246,2026-02-04,2025-09-05,2025-09-05,2026-02-04,2026-02-04,3.6
000250,2026-03-04,2026-03-04,2026-03-04,2026-03-04,2026-03-04,2.8
000251,2026-02-24,2026-02-24,2026-02-24,2026-02-24,2026-02-24,1.5
000254,2026-08-12,2026-08-12,2026-08-12,2026-08-12,2026-08-12,4.5
000261,2026-03-07,2026-03-07,2026-03-07,2026-03-07,2026-03-07,3.5
000274,2026-03-02,2025-09-03,2025-09-03,2026-03-02,2026-03-02,5.5
000276,2026-03-25,2026-03-25,2026-03-25,2026-03-25,2026-03-25,3.1
000278,2026-06-22,2026-06-22,2026-06-22,2026-06-22,2026-06-22,2.8
000279,2026-06-02,2026-06-02,2026-06-02,2026-06-02,2026-06-02,2.2
000294,2026-09-08,2026-09-09,2026-09-09,2026-09-09,2026-09-09,25.7
000320,2025-11-12,2025-11-12,2025-11-12,2025-11-12,2025-11-12,3.7
000323,2025-12-21,2025-12-21,2025-12-21,2025-12-21,2025-12-21,2.6
000330,2025-11-02,2025-11-02,2025-11-02,2025-11-02,2025-11-02,5.3
000360,2026-02-18,NONE,NONE,NONE,NONE,22.4
000378,2026-05-29,2026-05-29,2026-05-29,2026-05-29,2026-05-29,2.8
000384,2026-09-08,2026-07-08,2026-07-08,2026-07-08,2026-07-08,2.6
000385,2026-09-14,2026-09-14,2026-09-14,2026-09-14,2026-09-14,4.1
000386,2026-06-10,2025-06-11,2025-06-11,2026-11-06,2026-11-06,9.8
000392,2026-08-28,2026-08-28,2026-08-28,2026-08-28,2026-08-28,3.4
000400,2026-01-11,2026-01-11,2026-01-11,2026-01-11,2026-01-11,2.4
000406,2026-08-27,NONE,NONE,NONE,NONE,15.5
000407,2025-12-01,2025-12-01,2025-12-01,2025-12-01,2025-12-01,5.4
000408,2025-10-09,2025-10-09,2025-10-09,2025-10-09,2025-10-09,2.6
000411,2026-09-09,2026-09-09,2026-09-09,2026-09-09,2026-09-09,2.6
000422,2026-06-09,2026-06-09,2026-06-09,2026-06-09,2026-06-09,2.0
000440,2026-08-13,NONE,NONE,NONE,NONE,15.1
000450,2026-03-11,2025-09-12,2025-09-12,2026-03-11,2026-03-11,5.9
000451,2026-02-27,2025-08-28,2025-08-28,2026-02-27,2026-02-27,5.2
000452,2026-03-25,2025-09-NONE,2025-09-NONE,2025-09-NONE,2025-09-NONE,13.2
000453,2026-01-26,2025-08-27,2025-08-27,2025-08-27,2025-08-27,5.9
000454,2025-07-15,2025-07-15,2025-07-15,2025-07-15,2025-07-15,3.3
000455,2026-02-10,2026-02-10,2026-02-10,2026-02-10,2026-02-10,1.1
000456,2025-12-26,2025-12-26,2025-12-26,2025-12-26,2025-12-26,2.8
000494,2025-12-12,2025-12-12,2025-12-12,2025-12-12,2025-12-12,6.1
000495,2026-02-19,2026-02-01,2026-02-01,2026-02-01,2026-02-01,30.3
000500,2026-12-17,2026-12-17,2026-12-17,2026-12-17,2026-12-17,6.5
000506,2026-06-18,2026-06-11,2026-06-11,2026-06-11,2026-06-11,3.4
000507,2026-05-19,2025-08-20,2025-08-20,2026-05-19,2026-05-19,20.1
000515,2026-01-NONE,2026-01-NONE,2026-01-NONE,2026-01-NONE,2026-01-NONE,3.6
000519,2026-08-10,2026-08-10,2026-08-10,2026-08-10,2026-08-10,3.8
000521,2026-03-10,2026-03-10,2026-03-10,2026-03-10,2026-03-10,1.9
000522,2026-02-21,NONE,NONE,NONE,NONE,21.5
000523,2026-03-23,2026-03-23,2026-03-23,2026-03-23,2026-03-23,1.8
000546,2026-08-10,2026-08-10,2026-08-10,2026-08-10,2026-08-10,4.4
000576,2026-05-21,2020-02-NONE,2020-02-NONE,2026-05-21,2026-05-21,1.5
000584,2026-07-15,2026-07-15,2026-07-15,2026-07-15,2026-07-15,2.3
000592,2025-03-25,2023-03-26,2023-03-26,2023-03-26,2023-03-26,4.6
000594,2026-08-25,2025-08-26,2025-08-26,2026-08-25,2026-08-25,3.9
000597,2026-09-02,2026-09-02,2026-09-02,2026-09-02,2026-09-02,4.2
000598,2026-03-09,2026-03-09,2026-03-09,2026-03-09,2026-03-09,5.7
000602,2026-09-22,2025-09-20,2025-09-20,2025-09-20,2025-09-20,2.6
000624,2027-06-15,2027-06-15,2027-06-15,2027-06-15,2027-06-15,2.1
000627,2026-10-06,NONE,NONE,NONE,NONE,15.7
000663,2026-02-10,2026-02-10,2026-02-10,2026-02-10,2026-02-10,2.2
000667,2026-06-22,2026-06-22,2026-06-22,2026-06-22,2026-06-22,1.3
000669,2026-09-02,2026-09-02,2026-09-02,2026-09-02,2026-09-02,1.9
000670,2026-06-24,NONE-06-24,NONE-06-24,NONE-06-24,NONE-06-24,3.9
000686,2026-10-12,2025-10-12,2025-10-12,2025-10-12,2025-10-12,3.2
000690,2025-10-11,2025-10-11,2025-10-11,2025-10-11,2025-10-11,2.2
000691,2026-09-22,2026-09-22,2026-09-22,2026-09-22,2026-09-22,3.1
000693,2026-09-01,2026-09-01,2026-09-01,2026-09-01,2026-09-01,3.1
000739,2024-08-07,2023-08-08,2023-08-08,2023-08-08,2023-08-08,6.2
000741,2025-12-03,2025-12-03,2025-12-03,2025-12-03,2025-12-03,3.9
000773,NONE-12-10,NONE-12-10,NONE-12-10,NONE-12-10,NONE-12-10,5.9
