image_id,label,old,tags,all4,sec
000002,2025-12-11,2025-12-11,,2025-12-11,2.5
000009,2026-10-29,2026-10-29,,2026-10-29,3.3
000014,2026-01-31,2026-01-31,,2026-01-31,5.4
000017,2026-11-25,2026-11-25,,2026-11-25,3.2
000022,2025-10-14,NONE-01-20,,NONE-01-20,11.7
000026,2025-11-13,2025-11-13,,2025-11-13,3.0
000030,2017-08-28,2017-08-28,,2017-08-28,8.7
000033,2026-06-17,2026-06-17,,2026-06-17,3.5
000037,2026-07-17,2026-07-17,,2026-07-17,4.6
000040,2025-10-11,2025-10-11,,2025-10-11,1.9
000044,2026-02-07,2026-02-07,,2026-02-07,5.7
000047,2027-04-14,2027-04-04,,2027-04-04,1.5
000050,2025-09-30,2025-09-30,,2025-09-30,6.3
000053,2025-12-20,2025-12-20,,2025-12-20,2.5
000058,2027-03-27,2027-03-27,,2027-03-27,2.8
000062,2026-05-26,2026-05-26,,2026-05-26,2.0
000066,2026-08-17,2026-08-17,,2026-08-17,2.3
000071,2027-07-20,2027-07-20,2,2027-07-20,1.9
000075,2026-01-06,2026-01-06,,2026-01-06,2.3
000078,2025-06-19,2025-06-19,,2025-06-19,2.8
000081,2026-05-18,2026-05-18,2,2026-05-18,2.7
000085,2026-03-30,2026-09-30,,2026-09-30,2.7
000094,2027-06-30,2027-06-30,,2027-06-30,1.9
000100,2026-02-11,2026-02-11,,2026-02-11,2.5
000103,2025-12-18,2025-12-18,,2025-12-18,1.8
000109,2025-12-12,2025-12-12,b,2025-12-12,3.0
000112,2025-10-17,2025-10-17,,2025-10-17,1.7
000115,2025-12-08,2025-12-08,,2025-12-08,9.7
000118,2026-03-23,2026-05-25,,2026-05-25,1.8
000121,2027-04-13,2027-04-13,,2027-04-13,1.4
000127,2026-04-27,2026-04-27,,2026-04-27,2.0
000130,2027-02-05,2027-02-05,,2027-02-05,1.3
000134,2026-09-23,2026-09-23,,2026-09-23,2.3
000137,2026-03-26,2026-03-26,,2026-03-26,2.2
000140,2026-07-14,2026-07-14,,2026-07-14,2.8
000144,2027-03-25,2027-03-25,,2027-03-25,3.1
000148,2026-02-26,2026-02-26,2,2026-02-26,2.0
000151,2026-09-07,2026-09-07,,2026-09-07,1.6
000156,2026-07-29,2026-07-29,,2026-07-29,1.9
000160,2026-10-27,2025-04-02,2,2025-04-02,1.4
000163,2026-11-20,2026-11-20,,2026-11-20,1.3
000166,2027-08-18,2027-08-NONE,,2027-08-NONE,6.5
000170,2026-09-07,2026-09-07,,2026-09-07,1.2
000173,2026-09-17,2026-09-17,,2026-09-17,2.4
000176,2026-09-22,2026-09-22,2,2026-09-22,3.2
000179,2026-06-29,2025-09-30,2,2026-06-29,2.3
000182,2026-10-01,2026-10-01,,2026-10-01,2.5
000186,2028-04-14,2028-04-14,,2028-04-14,1.2
000190,2022-11-26,2022-11-26,,2022-11-26,18.7
000194,2027-04-23,2027-04-23,,2027-04-23,2.2
000198,2026-05-08,2022-12-15,,2022-12-15,4.1
000202,2027-02-06,2027-02-06,,2027-02-06,2.0
000205,2027-05-18,2027-05-18,,2027-05-18,1.7
000211,2026-02-12,2026-06-02,,2026-06-02,10.9
000216,2026-03-16,2026-03-01,,2026-03-01,1.9
000219,2026-09-07,2026-09-07,,2026-09-07,1.1
000222,2026-03-25,2026-03-25,,2026-03-25,1.7
000226,2027-03-15,2027-03-15,,2027-03-15,4.4
000229,2025-10-28,2022-10-11,,2022-10-11,7.7
