image_id,label,old,tags,ko,sec
000003,2026-05-12,2026-05-12,t,2026-05-12,2.1
000010,2026-06-08,2026-06-08,,2026-06-08,2.7
000015,2026-03-01,2026-03-01,2,2026-03-01,6.9
000018,2026-04-24,2026-04-24,,2026-04-24,13.6
000023,2025-10-10,2025-10-10,,2025-10-10,2.3
000027,2026-04-27,2026-04-27,,2026-04-27,3.1
000031,2026-02-14,2026-02-14,,2026-02-14,2.5
000034,2026-06-30,2026-06-30,,2026-06-30,3.5
000038,2027-02-12,2027-02-12,,2027-02-12,1.9
000041,2025-10-11,2025-10-11,,2025-10-11,2.0
000045,2027-04-21,2027-04-21,,2027-04-21,2.4
000048,2026-06-12,2026-06-12,,2026-06-12,8.2
000051,2026-01-12,2026-01-12,,2026-01-12,2.0
000054,2025-10-08,NONE,,NONE,23.3
000059,2027-06-22,2022-06-22,,2027-06-22,22.3
000063,2026-06-16,2026-06-16,2,2026-06-16,2.7
000067,2025-12-19,NONE,,NONE,19.2
000072,2026-04-25,2026-04-25,,2026-04-25,5.7
000076,2026-08-17,2026-08-17,,2026-08-17,1.9
000079,2026-01-31,2026-01-31,,2026-01-31,1.8
000083,2026-07-01,2026-07-01,,2026-07-01,1.1
000091,2027-05-22,2027-05-22,,2027-05-22,2.5
000095,2026-07-29,2026-07-29,,2026-07-29,5.0
000101,2026-04-08,2026-04-08,,2026-04-08,2.7
000106,NONE-10-20,NONE,,NONE,28.8
000110,2025-10-29,NONE,,NONE,21.6
000113,2026-01-16,2026-01-16,,2026-01-16,1.9
000116,2026-03-27,2026-03-27,,2026-03-27,2.5
000119,2026-08-24,2026-08-24,,2026-08-24,2.2
000125,2026-04-07,2026-04-07,,2026-04-07,2.0
000128,2026-05-28,2026-05-28,,2026-05-28,3.4
000131,2026-08-05,2026-08-05,,2026-08-05,1.4
000135,2026-04-18,2026-04-18,,2026-04-18,3.2
000138,2026-05-14,2026-05-14,,2026-05-14,4.0
000141,2026-09-17,2026-09-17,,2026-09-17,2.7
000145,2027-03-24,2027-03-24,,2027-03-24,5.4
000149,2026-04-28,2026-04-28,,2026-04-28,4.9
000152,2026-07-31,2026-07-31,,2026-07-31,1.7
000157,2027-07-08,NONE,t,NONE,15.7
000161,2027-05-10,2027-05-10,,2027-05-10,3.9
000164,2026-04-27,2026-04-27,,2026-04-27,2.1
000167,2026-08-07,2026-08-07,,2026-08-07,5.9
000171,2026-05-27,2026-05-27,2,2026-05-27,4.2
000174,2026-09-05,2026-09-05,2,2026-09-05,4.2
000177,2026-08-18,2026-08-18,,2026-08-18,4.4
000180,2026-06-25,2026-06-25,2,2026-06-25,2.7
000184,2027-11-19,2027-11-01,,2027-11-01,2.6
000187,2028-02-05,2028-02-05,,2028-02-05,3.1
000191,2026-06-15,NONE,,NONE,24.1
000195,2027-07-01,2027-07-01,,2027-07-01,3.1
000200,2027-07-14,2021-07-NONE,,2021-07-NONE,16.7
000203,2026-07-01,2026-07-08,,2026-07-08,24.6
000206,2026-05-08,2026-05-08,,2026-05-08,3.2
000212,2026-12-16,2026-12-16,,2026-12-16,18.5
000217,2027-03-08,2027-03-08,,2027-03-08,6.3
000220,2026-02-23,2026-02-23,,2026-02-23,2.5
000223,2026-08-13,2026-08-13,,2026-08-13,1.8
000227,2028-09-17,2028-09-17,,2028-09-17,8.5
000230,2026-03-28,2026-03-28,,2026-03-28,3.0
000235,2026-03-08,2026-03-08,,2026-03-08,4.6
000238,2026-09-10,2026-09-10,2,2026-09-10,4.5
000241,2027-08-10,2027-08-10,,2027-08-10,3.6
000244,2026-06-21,2026-06-21,2,2026-06-21,5.2
000247,2026-05-20,2026-05-20,,2026-05-20,2.1
000251,2026-02-24,2026-02-24,2,2026-02-24,1.6
000254,2026-08-12,2026-08-12,2,2026-08-12,4.3
000258,2026-05-30,2026-05-30,,2026-05-30,8.0
000261,2026-03-07,2026-03-07,2,2026-03-07,4.6
000264,2026-06-06,NONE,,NONE,17.3
000267,2026-06-02,2026-06-02,,2026-06-02,3.2
000271,2026-03-24,2026-03-22,,2026-03-22,2.3
000276,2026-03-25,2026-03-25,2,2026-03-25,3.7
000282,2026-09-10,2026-09-10,,2026-09-10,3.6
000285,2027-07-02,2027-07-02,,2027-07-02,2.8
000288,2028-07-25,2028-07-25,b,2028-07-25,4.4
000291,2027-07-21,2027-07-21,,2027-07-21,4.5
