image_id,label,old,tags,kol,sec
000003,2026-05-12,2026-05-12,t,2026-05-12,4.6
000010,2026-06-08,2026-06-08,,2026-06-08,7.8
000015,2026-03-01,2026-03-01,2,2026-03-01,23.6
000018,2026-04-24,2026-04-24,,2026-04-24,28.7
000023,2025-10-10,2025-10-10,,2025-10-10,7.4
000027,2026-04-27,2026-04-27,,2026-04-27,6.3
000031,2026-02-14,2026-02-14,,2026-02-14,6.6
000034,2026-06-30,2026-06-30,,2026-06-30,7.0
000038,2027-02-12,2027-02-12,,2027-02-12,3.8
000041,2025-10-11,2025-10-11,,2025-10-11,3.6
000045,2027-04-21,2027-04-21,,2027-04-21,7.3
000048,2026-06-12,2026-06-12,,2026-06-12,11.8
000051,2026-01-12,2026-01-12,,2026-01-12,4.3
000054,2025-10-08,NONE,,2025-10-08,25.3
000059,2027-06-22,2022-06-22,,2027-06-22,18.6
000063,2026-06-16,2026-06-16,2,2026-06-16,4.1
000067,2025-12-19,NONE,,NONE,19.0
000072,2026-04-25,2026-04-25,,2026-04-25,8.5
000076,2026-08-17,2026-08-17,,2026-08-17,4.2
000079,2026-01-31,2026-01-31,,2026-01-31,4.2
000083,2026-07-01,2026-07-01,,2026-07-01,1.5
000091,2027-05-22,2027-05-22,,2027-05-22,5.3
000095,2026-07-29,2026-07-29,,2026-07-29,7.7
000101,2026-04-08,2026-04-08,,2026-04-08,5.3
000106,NONE-10-20,NONE,,NONE,31.5
000110,2025-10-29,NONE,,2025-10-29,21.8
000113,2026-01-16,2026-01-16,,2026-01-16,3.4
000116,2026-03-27,2026-03-27,,2026-03-27,4.4
000119,2026-08-24,2026-08-24,,2026-08-24,3.9
000125,2026-04-07,2026-04-07,,2026-04-07,4.2
000128,2026-05-28,2026-05-28,,2026-05-28,5.5
000131,2026-08-05,2026-08-05,,2026-08-05,3.5
000135,2026-04-18,2026-04-18,,2026-04-18,5.1
000138,2026-05-14,2026-05-14,,2026-05-14,6.6
000141,2026-09-17,2026-09-17,,2026-09-17,4.9
