image_id,label,old,tags,v640,sec
000002,2025-12-11,2025-12-11,,2025-12-11,2.5
000009,2026-10-29,2026-10-29,,2026-10-29,3.6
000014,2026-01-31,2026-01-31,,2026-01-31,6.4
000017,2026-11-25,2026-11-25,,2026-11-25,2.6
000022,2025-10-14,NONE-01-20,,NONE-01-20,9.6
000026,2025-11-13,2025-11-13,,2025-11-13,1.8
000030,2017-08-28,2017-08-28,,2028-08-12,4.5
000033,2026-06-17,2026-06-17,,2026-06-17,3.2
000037,2026-07-17,2026-07-17,,2026-07-17,1.4
000040,2025-10-11,2025-10-11,,2025-10-11,2.2
000044,2026-02-07,2026-02-07,,2026-02-07,5.6
000047,2027-04-14,2027-04-04,,2027-04-14,1.5
000050,2025-09-30,2025-09-30,,2025-09-30,7.1
000053,2025-12-20,2025-12-20,,2025-12-20,2.7
000058,2027-03-27,2027-03-27,,2027-03-27,3.0
000062,2026-05-26,2026-05-26,,2026-05-26,2.6
000066,2026-08-17,2026-08-17,,2026-08-17,2.6
000071,2027-07-20,2027-07-20,2,2027-07-20,2.8
000075,2026-01-06,2026-01-06,,2026-01-06,2.8
000078,2025-06-19,2025-06-19,,2025-06-19,6.7
000081,2026-05-18,2026-05-18,2,2026-05-18,4.0
000085,2026-03-30,2026-09-30,,2026-09-30,1.9
000094,2027-06-30,2027-06-30,,2027-06-30,1.8
000100,2026-02-11,2026-02-11,,2026-02-11,2.3
000103,2025-12-18,2025-12-18,,2025-12-18,2.5
000109,2025-12-12,2025-12-12,b,2025-12-12,4.1
000112,2025-10-17,2025-10-17,,2025-10-17,1.2
000115,2025-12-08,2025-12-08,,2025-12-08,14.8
000118,2026-03-23,2026-05-25,,2026-05-25,1.8
000121,2027-04-13,2027-04-13,,2027-04-13,1.4
000127,2026-04-27,2026-04-27,,2026-04-27,1.8
000130,2027-02-05,2027-02-05,,2027-02-05,1.8
000134,2026-09-23,2026-09-23,,2026-09-23,3.7
000137,2026-03-26,2026-03-26,,2026-03-26,3.2
000140,2026-07-14,2026-07-14,,2026-07-14,3.2
000144,2027-03-25,2027-03-25,,2027-03-25,3.8
000148,2026-02-26,2026-02-26,2,2026-02-26,2.6
000151,2026-09-07,2026-09-07,,2026-09-07,1.9
000156,2026-07-29,2026-07-29,,2026-07-29,2.5
000160,2026-10-27,2025-04-02,2,2025-04-28,1.7
000163,2026-11-20,2026-11-20,,2026-11-20,1.4
000166,2027-08-18,2027-08-NONE,,2027-08-NONE,5.6
000170,2026-09-07,2026-09-07,,2026-09-07,1.7
000173,2026-09-17,2026-09-17,,2026-09-17,1.6
000176,2026-09-22,2026-09-22,2,2026-09-22,4.1
000179,2026-06-29,2025-09-30,2,2026-06-29,4.4
000182,2026-10-01,2026-10-01,,2026-10-01,2.4
000186,2028-04-14,2028-04-14,,2028-04-14,2.1
000190,2022-11-26,2022-11-26,,2022-11-26,22.7
000194,2027-04-23,2027-04-23,,2027-04-23,2.2
000198,2026-05-08,2022-12-15,,2022-12-15,5.6
000202,2027-02-06,2027-02-06,,2027-02-06,2.5
000205,2027-05-18,2027-05-18,,2027-05-18,2.8
000211,2026-02-12,2026-06-02,,2026-06-02,9.0
000216,2026-03-16,2026-03-01,,2026-03-01,2.5
000219,2026-09-07,2026-09-07,,2026-09-07,1.3
000222,2026-03-25,2026-03-25,,2026-03-25,2.0
000226,2027-03-15,2027-03-15,,2027-03-15,7.4
000229,2025-10-28,2022-10-11,,2022-10-11,8.3
000233,2028-01-13,2021-01-22,,2021-01-22,10.1
000237,2026-06-05,2026-06-05,,2026-06-05,4.3
000240,2027-05-20,2027-05-20,,2027-05-20,2.8
000243,2026-08-17,2026-08-17,,2026-08-17,2.2
000246,2026-02-04,2025-09-05,2,2026-02-04,4.2
000250,2026-03-04,2026-03-04,2,2026-03-04,3.6
000253,2026-06-20,2026-06-20,,2026-06-20,1.6
000257,2025-12-10,2025-12-10,,2025-12-10,1.4
000260,2027-04-01,2027-04-01,,2027-04-01,1.7
000263,2028-01-22,NONE,,NONE,21.6
000266,2025-12-04,NONE,b,NONE,20.8
000270,2026-09-03,2026-09-03,,2026-09-03,2.2
000275,2026-04-23,2026-04-23,,2026-04-23,7.5
000281,2026-07-15,2026-07-15,,2026-07-15,3.7
000284,2026-08-20,2026-08-20,,2026-08-20,5.2
000287,2027-02-18,2027-02-18,,2027-02-18,7.1
000290,2027-03-02,2027-03-02,,2027-03-02,8.4
000294,2026-09-08,2026-09-09,2,2026-09-09,15.4
000299,2026-05-13,2026-05-13,,2026-05-13,4.2
000302,2026-03-15,2026-03-15,,2026-03-15,1.8
000305,2026-02-24,2026-02-24,,2026-02-24,17.0
000308,2025-12-04,2025-12-04,,2025-12-04,1.3
000313,2026-03-17,2026-03-17,,2026-03-17,2.5
000317,2025-11-15,2025-11-15,,2025-11-15,3.0
000322,2025-10-29,2025-10-29,,2025-10-29,1.6
000325,2025-11-03,2025-11-03,,2025-11-03,2.7
000329,2025-12-25,2025-12-25,,2025-12-25,3.2
000332,2025-10-22,2025-10-22,,2025-10-22,1.9
000335,2025-11-28,2025-11-28,,2025-11-28,2.0
000338,2026-05-28,2026-05-28,,2026-05-28,1.2
000342,2026-06-22,2026-06-22,,2026-06-22,1.2
000346,2026-05-15,2026-05-15,,2026-05-15,1.4
000349,2025-12-07,2025-12-07,,2025-12-07,1.6
000353,2026-03-08,2026-03-08,,2026-03-08,3.0
000356,2027-03-17,2027-03-17,,2027-03-17,2.8
000360,2026-02-18,NONE,2,NONE,29.0
000364,2026-06-04,2026-06-04,,2026-06-04,8.6
000367,2026-05-18,2026-05-18,,2026-05-18,3.6
000370,2026-09-02,2025-09-02,,2025-09-02,9.8
000373,2026-09-18,NONE,,NONE,32.2
000376,2025-10-07,2025-10-07,,2025-10-07,5.8
000379,2026-09-05,2026-09-05,d,2026-09-05,2.9
000382,2026-08-18,2026-08-18,,2026-08-18,2.7
000385,2026-09-14,2026-09-14,2,2026-09-14,2.9
000390,2026-05-19,2021-03-23,,2021-03-23,12.5
000393,2027-08-02,2027-08-02,,2027-08-02,2.8
000397,2026-02-19,2026-02-19,,2026-02-19,2.9
000401,2027-04-12,2027-04-12,,2027-04-12,2.5
000404,2026-06-10,2026-06-10,,2026-06-10,1.9
000407,2025-12-01,2025-12-01,2,2025-12-01,6.6
000411,2026-09-09,2026-09-09,2,2026-09-09,3.3
000416,2026-04-07,2026-07-01,,2026-07-01,2.5
000419,2026-08-05,2026-08-05,,2026-08-05,2.6
000422,2026-06-09,2026-06-09,2,2026-06-09,2.3
000425,2025-11-05,2025-11-05,,2025-11-05,1.6
000429,2026-01-04,2025-01-04,,2026-01-04,4.1
000433,2026-08-05,2026-08-05,,2026-08-05,7.9
000436,2026-02-12,2026-02-12,,2026-02-12,3.6
000439,2026-03-18,2026-03-18,,2026-03-18,2.0
000443,2026-04-06,2026-04-06,,2026-04-06,5.2
