image_id,label,old,tags,kol,sec
000003,2026-05-12,2026-05-12,t,2026-05-12,1.8
000010,2026-06-08,2026-06-08,,2026-06-08,2.6
000015,2026-03-01,2026-03-01,2,2026-03-01,6.2
000018,2026-04-24,2026-04-24,,2026-04-24,19.0
000023,2025-10-10,2025-10-10,,2025-10-10,3.9
000027,2026-04-27,2026-04-27,,2026-04-27,4.1
000031,2026-02-14,2026-02-14,,2026-02-14,2.6
000034,2026-06-30,2026-06-30,,2026-06-30,2.5
000038,2027-02-12,2027-02-12,,2027-02-12,3.1
000041,2025-10-11,2025-10-11,,2025-10-11,3.1
000045,2027-04-21,2027-04-21,,2027-04-21,3.3
000048,2026-06-12,2026-06-12,,2026-06-12,9.8
000051,2026-01-12,2026-01-12,,2026-01-12,2.2
000054,2025-10-08,NONE,,2025-10-08,20.6
000059,2027-06-22,2022-06-22,,2027-06-27,27.7
000063,2026-06-16,2026-06-16,2,2026-06-16,4.6
000067,2025-12-19,NONE,,NONE,18.3
000072,2026-04-25,2026-04-25,,2026-04-25,8.8
000076,2026-08-17,2026-08-17,,2026-08-17,4.2
000079,2026-01-31,2026-01-31,,2026-01-31,2.5
000083,2026-07-01,2026-07-01,,2026-07-01,1.3
000091,2027-05-22,2027-05-22,,2027-05-22,3.3
000095,2026-07-29,2026-07-29,,2026-07-29,5.6
000101,2026-04-08,2026-04-08,,2026-04-08,2.9
000106,NONE-10-20,NONE,,NONE,32.4
000110,2025-10-29,NONE,,2025-10-29,27.8
000113,2026-01-16,2026-01-16,,2026-01-16,2.0
000116,2026-03-27,2026-03-27,,2026-03-27,5.3
000119,2026-08-24,2026-08-24,,2026-08-24,2.3
000125,2026-04-07,2026-04-07,,2026-04-07,3.0
000128,2026-05-28,2026-05-28,,2026-05-28,3.8
000131,2026-08-05,2026-08-05,,2026-08-05,1.9
000135,2026-04-18,2026-04-18,,2026-04-18,6.5
000138,2026-05-14,2026-05-14,,2026-05-14,6.8
000141,2026-09-17,2026-09-17,,2026-09-17,3.6
000145,2027-03-24,2027-03-24,,2027-03-24,10.3
000149,2026-04-28,2026-04-28,,2026-04-28,8.0
000152,2026-07-31,2026-07-31,,2026-07-31,2.8
000157,2027-07-08,NONE,t,NONE,17.3
000161,2027-05-10,2027-05-10,,2027-05-10,7.0
000164,2026-04-27,2026-04-27,,2026-04-27,2.4
000167,2026-08-07,2026-08-07,,2026-08-07,9.6
000171,2026-05-27,2026-05-27,2,2026-05-27,3.5
000174,2026-09-05,2026-09-05,2,2026-09-05,3.6
000177,2026-08-18,2026-08-18,,2026-08-18,3.6
000180,2026-06-25,2026-06-25,2,2026-06-25,3.1
000184,2027-11-19,2027-11-01,,2027-11-01,3.2
000187,2028-02-05,2028-02-05,,2028-02-05,5.0
000191,2026-06-15,NONE,,NONE,21.4
