image_id,label,old,tags,kol,sec
000004,2022-02-14,2027-02-14,b,2027-02-14,20.6
000012,2026-03-23,2026-03-23,,2026-03-23,2.8
000016,2026-01-22,2026-01-22,,2026-01-22,5.5
000021,2025-10-10,2025-10-10,,2025-10-10,5.7
000024,2025-10-11,NONE,,NONE,37.3
000028,2026-02-10,2026-02-10,,2026-02-10,8.5
000032,2026-03-22,2026-03-21,,2026-03-21,2.6
000035,2026-08-17,2026-08-17,,2026-08-17,3.5
000039,2026-05-26,2026-05-26,,2026-05-26,4.6
000042,2025-10-12,2025-10-02,,2025-10-02,3.4
000046,2025-10-10,2025-10-10,,2025-10-10,3.8
000049,2026-03-01,2026-03-01,,2026-03-01,6.2
000052,2025-11-19,2025-11-19,,2025-11-19,6.2
000056,2026-07-11,2026-12-07,2,2026-12-07,13.9
000060,2026-04-30,2026-04-30,,2026-04-30,3.6
000065,2026-01-12,2026-01-12,,2026-01-12,3.4
000068,2026-06-17,2026-06-17,,2026-06-17,10.1
000074,2026-08-28,2026-08-28,,2026-08-28,5.2
000077,2026-03-07,2026-03-07,,2026-03-07,4.7
000080,2026-09-16,2026-09-16,2,2026-09-16,9.9
000084,2026-03-31,2026-03-31,2,2026-03-31,7.5
000093,2026-04-23,2026-04-23,,2026-04-23,2.2
000098,2026-03-11,2026-03-11,,2026-03-11,7.3
000102,2025-11-13,2025-11-13,,2025-11-13,4.4
000107,2025-12-25,2025-12-25,,2025-12-25,4.1
000111,2025-10-25,2025-10-25,,2025-10-25,7.9
000114,2026-02-28,2026-02-28,,2026-02-28,5.1
000117,2025-11-28,2025-11-28,,2025-11-28,3.5
000120,2026-08-25,2026-08-25,,2026-08-25,2.3
000126,2026-06-12,2026-06-12,,2026-06-12,4.3
000129,2026-01-09,2026-01-09,,2026-01-09,4.5
000132,2026-08-21,2026-08-21,,2026-08-21,4.3
000136,2025-12-02,2025-12-02,,2025-12-02,8.5
000139,2026-07-26,2026-07-26,,2026-07-26,4.1
000143,2027-03-06,2027-03-06,,2027-03-06,7.6
000147,2026-03-21,2026-03-21,,2026-03-21,3.9
000150,2026-08-12,2026-08-12,,2026-08-12,5.9
000155,2026-06-22,2026-06-22,,2026-06-22,2.6
000159,2027-01-08,2027-01-01,,2027-01-08,12.3
000162,2027-06-12,2027-06-12,,2027-06-12,4.9
