image_id,label,old,tags,kol,sec
000002,2025-12-11,2025-12-11,,2025-12-11,1.9
000004,2022-02-14,2027-02-14,b,2027-02-14,10.8
000010,2026-06-08,2026-06-08,,2026-06-08,2.0
000014,2026-01-31,2026-01-31,,2026-01-31,4.6
000016,2026-01-22,2026-01-22,,2026-01-22,2.6
000018,2026-04-24,2026-04-24,,2026-04-24,10.7
000022,2025-10-14,NONE-01-20,,NONE-01-20,7.8
000024,2025-10-11,NONE,,NONE,18.5
000027,2026-04-27,2026-04-27,,2026-04-27,3.1
000030,2017-08-28,2017-08-28,,2017-08-28,5.1
000032,2026-03-22,2026-03-21,,2026-03-21,2.0
000034,2026-06-30,2026-06-30,,2026-06-30,2.4
000037,2026-07-17,2026-07-17,,2026-07-17,1.5
000039,2026-05-26,2026-05-26,,2026-05-26,1.8
000041,2025-10-11,2025-10-11,,2025-10-11,2.3
000044,2026-02-07,2026-02-07,,2026-02-07,6.3
000046,2025-10-10,2025-10-10,,2025-10-10,1.9
000048,2026-06-12,2026-06-12,,2026-06-12,6.8
000050,2025-09-30,2025-09-30,,2025-09-30,7.4
000052,2025-11-19,2025-11-19,,2025-11-19,2.4
000054,2025-10-08,NONE,,2025-10-08,13.8
000058,2027-03-27,2027-03-27,,2027-03-27,4.1
000060,2026-04-30,2026-04-30,,2026-04-30,2.3
000063,2026-06-16,2026-06-16,2,2026-06-16,2.2
000066,2026-08-17,2026-08-17,,2026-08-17,3.2
000068,2026-06-17,2026-06-17,,2026-06-17,5.4
000072,2026-04-25,2026-04-25,,2031-02-08,5.0
000075,2026-01-06,2026-01-06,,2026-01-06,3.5
000077,2026-03-07,2026-03-07,,2026-03-07,1.6
000079,2026-01-31,2026-01-31,,2026-01-31,2.0
000081,2026-05-18,2026-05-18,2,2026-05-18,2.1
000084,2026-03-31,2026-03-31,2,2026-03-31,3.3
000091,2027-05-22,2027-05-22,,2027-05-22,2.8
000094,2027-06-30,2027-06-30,,2027-06-30,1.5
000098,2026-03-11,2026-03-11,,2026-03-11,3.2
000101,2026-04-08,2026-04-08,,2026-04-08,2.7
000103,2025-12-18,2025-12-18,,2025-12-18,2.0
000107,2025-12-25,2025-12-25,,2025-12-25,2.1
000110,2025-10-29,NONE,,2025-10-29,14.8
000112,2025-10-17,2025-10-17,,2025-10-17,1.5
000114,2026-02-28,2026-02-28,,2026-02-28,3.6
000116,2026-03-27,2026-03-27,,2026-03-27,2.4
000118,2026-03-23,2026-05-25,,2026-05-25,1.8
000120,2026-08-25,2026-08-25,,2026-08-25,2.0
000125,2026-04-07,2026-04-07,,2026-04-07,2.1
000127,2026-04-27,2026-04-27,,2026-04-27,2.4
000129,2026-01-09,2026-01-09,,2026-01-09,2.4
000131,2026-08-05,2026-08-05,,2026-08-05,1.4
000134,2026-09-23,2026-09-23,,2026-09-23,4.2
000136,2025-12-02,2025-12-02,,2025-12-02,3.7
000138,2026-05-14,2026-05-14,,2026-05-14,4.0
000140,2026-07-14,2026-07-14,,2026-07-14,5.3
000143,2027-03-06,2027-03-06,,2027-03-06,5.2
000145,2027-03-24,2027-03-24,,2027-03-24,6.3
000148,2026-02-26,2026-02-26,2,2026-02-26,2.0
000150,2026-08-12,2026-08-12,,2026-08-12,2.8
000152,2026-07-31,2026-07-31,,2026-07-31,1.6
000156,2026-07-29,2026-07-29,,2026-07-29,2.4
000159,2027-01-08,2027-01-01,,2027-01-01,5.1
000161,2027-05-10,2027-05-10,,2027-05-10,3.3
000163,2026-11-20,2026-11-20,,2026-11-20,1.6
000165,2027-01-13,2027-01-13,,2027-01-13,1.6
000167,2026-08-07,2026-08-07,,2026-08-07,4.3
000170,2026-09-07,2026-09-07,,2026-09-07,1.6
000172,2026-06-10,2026-06-10,2,2026-06-10,2.1
000174,2026-09-05,2026-09-05,2,2026-09-05,3.0
000176,2026-09-22,2026-09-22,2,2026-09-22,3.8
000178,2026-06-25,2026-06-25,,2026-06-25,2.2
000180,2026-06-25,2026-06-25,2,2026-06-25,1.4
000182,2026-10-01,2026-10-01,,2026-10-01,3.2
000185,2028-03-15,2028-03-15,,2028-03-15,3.7
000187,2028-02-05,2028-02-05,,2028-02-05,2.9
000190,2022-11-26,2022-11-26,,2022-11-26,20.1
000192,2026-06-24,2024-06-01,,2024-06-01,4.7
000195,2027-07-01,2027-07-01,,2027-07-01,4.2
000198,2026-05-08,2022-12-15,,2022-12-15,8.1
000201,2027-03-30,2027-03-30,,2027-03-30,5.9
000203,2026-07-01,2026-07-08,,2026-07-08,15.8
000205,2027-05-18,2027-05-18,,2027-05-18,1.6
000208,2026-04-13,NONE,,2026-04-13,1.5
000212,2026-12-16,2026-12-16,,2026-12-16,12.5
000216,2026-03-16,2026-03-01,,2026-03-01,2.5
000218,2026-05-03,2026-05-03,,2026-05-03,2.2
000220,2026-02-23,2026-02-23,,2026-02-23,1.9
000222,2026-03-25,2026-03-25,,2026-03-25,2.3
000225,2026-04-06,2026-04-06,,2026-04-06,3.5
000227,2028-09-17,2028-09-17,,2028-09-17,6.2
000229,2025-10-28,2022-10-11,,2022-10-11,9.1
000232,2027-11-26,NONE,e,NONE,17.2
000235,2026-03-08,2026-03-08,,2026-03-08,4.0
000237,2026-06-05,2026-06-05,,2026-06-05,4.0
000239,2026-07-10,2026-07-10,,2026-07-10,4.5
000241,2027-08-10,2027-08-10,,2027-08-10,4.0
000243,2026-08-17,2026-08-17,,2026-08-17,1.6
000245,2026-02-24,2026-02-24,2,2026-02-24,3.4
000247,2026-05-20,2026-05-20,,2026-05-20,2.1
000250,2026-03-04,2026-03-04,2,2026-03-04,3.3
000252,2026-07-09,2026-07-09,,2026-07-09,1.6
000254,2026-08-12,2026-08-12,2,2026-08-12,3.1
000257,2025-12-10,2025-12-10,,2025-12-10,1.5
000259,2025-11-09,2025-11-09,,2025-11-09,2.3
000261,2026-03-07,2026-03-07,2,2026-03-07,3.3
000263,2028-01-22,NONE,,NONE,22.2
000265,2026-11-26,2026-11-26,,2026-11-26,1.4
000267,2026-06-02,2026-06-02,,2026-06-02,2.8
000270,2026-09-03,2026-09-03,,2026-09-03,3.7
000272,2026-05-10,2026-05-10,,2026-05-10,2.6
000276,2026-03-25,2026-03-25,2,2026-03-25,3.0
000281,2026-07-15,2026-07-15,,2026-07-15,4.4
000283,2027-09-17,2027-09-17,,2027-09-17,2.4
000285,2027-07-02,2027-07-02,,2027-07-02,2.6
000287,2027-02-18,2027-02-18,,2027-02-18,7.8
000289,2030-07-23,2030-07-23,,2030-07-23,1.9
000291,2027-07-21,2027-07-21,,2027-07-21,4.4
000294,2026-09-08,2026-09-09,2,2026-09-09,10.1
000296,2026-07-28,2026-07-28,,2026-07-28,1.9
000300,2026-05-21,2026-05-21,,2026-05-21,2.7
000302,2026-03-15,2026-03-15,,2026-03-15,1.3
000304,2026-06-01,2026-06-01,,2026-06-01,2.0
000306,2026-09-16,2026-09-16,,2026-09-16,2.4
000308,2025-12-04,2025-12-04,,2025-12-04,1.3
000312,2026-08-26,2026-08-26,,2026-08-26,2.1
000315,2026-07-19,2026-07-19,,2026-07-19,1.1
000317,2025-11-15,2025-11-15,,2025-11-15,3.2
000320,2025-11-12,2025-11-12,2,2025-11-12,4.1
000323,2025-12-21,2025-12-21,2,2025-12-21,2.4
000325,2025-11-03,2025-11-03,,2025-11-03,3.6
000328,2025-12-25,2025-12-25,,2025-12-25,4.5
000330,2025-11-02,2025-11-02,2,2025-11-02,4.4
000332,2025-10-22,2025-10-22,,2025-10-22,2.2
000334,2026-03-15,2026-03-15,,2026-03-15,1.4
000336,2025-11-20,2025-11-20,,2025-11-20,21.6
000338,2026-05-28,2026-05-28,,2026-05-28,2.0
000341,2026-04-29,2026-04-29,,2026-04-29,3.0
000344,2026-08-04,2026-08-04,,2026-08-04,2.4
000346,2026-05-15,2026-05-15,,2026-05-15,2.4
000348,2026-04-02,2026-04-02,,2026-04-02,5.7
000350,2027-05-15,2027-05-15,,2027-05-15,5.8
000353,2026-03-08,2026-03-08,,2026-03-08,4.5
000355,2028-06-17,2028-05-17,,2028-06-17,3.9
