image_id,n_cands,max_frag,max_digits
000003,1,1,8
000010,1,1,8
000015,3,3,23
000018,1,2,31
000023,1,2,13
000027,2,1,8
000031,1,0,18
000034,1,2,14
000038,1,1,9
000041,1,2,14
000045,1,1,8
000048,1,2,17
000051,1,1,8
000054,0,1,12
000059,1,1,27
000063,2,1,8
000067,0,0,6
000072,1,3,63
000076,1,1,8
000079,1,1,8
000083,1,1,6
000091,1,2,14
000095,1,1,9
000101,1,2,22
000106,0,3,24
000110,0,1,8
000113,1,1,8
000116,1,1,16
000119,1,1,8
000125,1,1,11
000128,1,1,9
000131,1,1,8
000135,1,1,12
000138,1,1,17
000141,1,1,8
000145,1,1,33
000149,1,3,74
000152,1,1,8
000157,0,0,5
000161,1,3,41
000164,1,1,9
000167,1,1,18
000171,2,1,9
000174,3,2,16
000177,2,2,16
000180,2,1,8
000184,1,0,13
000187,1,1,14
000191,0,0,7
000195,1,1,9
000200,1,1,35
000203,1,4,86
000206,1,2,28
000212,1,2,18
000217,1,2,57
000220,1,1,41
000223,1,1,8
000227,1,2,47
000230,1,1,16
000235,1,1,8
000238,2,1,10
000241,1,2,13
000244,3,2,23
000247,1,2,14
000251,1,2,10
000254,2,4,21
000258,1,1,14
000261,2,2,13
000264,0,2,14
000267,1,1,6
000271,1,1,10
000276,2,2,14
000282,1,1,8
000285,1,1,36
000288,1,1,16
000291,1,1,15
000295,1,1,9
000300,1,1,32
000303,1,2,19
000306,1,2,13
000310,3,1,21
000315,1,1,8
000319,1,1,10
000323,2,1,10
000326,1,1,25
000330,2,2,17
000333,1,1,8
000336,1,2,23
000340,1,1,7
000344,1,2,12
000347,1,1,11
000350,1,1,21
000354,1,1,20
000357,1,1,12
000361,1,2,21
000365,1,1,8
000368,1,2,31
000371,1,2,17
000374,1,1,26
000377,1,1,13
000380,1,1,10
000383,1,1,15
000386,3,3,25
000391,1,1,10
000394,1,2,19
000398,1,1,10
000402,1,3,70
000405,1,1,35
000408,1,2,19
000412,1,1,8
000417,1,1,13
000420,1,1,17
000423,3,2,20
000426,1,1,16
000430,2,1,8
000434,1,1,13
000437,0,0,1
000440,0,1,17
000444,1,1,35
000448,1,1,8
000451,2,3,19
000454,2,1,9
000459,1,5,104
000464,1,1,25
000467,2,1,7
000470,1,1,14
000474,1,1,4
000478,0,1,6
000481,1,1,6
000484,1,1,8
000489,1,2,29
000494,2,2,23
000497,0,2,11
000500,2,3,36
000504,1,1,14
000507,2,12,198
000512,1,1,13
000516,1,1,22
000519,2,2,12
000522,0,2,16
000525,1,1,11
000530,1,1,16
000533,1,1,13
000536,1,1,11
000540,1,1,20
000543,1,1,24
000547,1,1,8
000550,1,3,30
